id,popularity,followers.total
4r6k6rxMYR5sD9U2KApX9i,14,992
6LGGdQnaYJCOHLjKmOHMmx,36,1634
4j4l5y862CZaGzpPt7ZJR2,40,2460
61ipISvUVa5LkJlKZnm3Oo,71,309507
3hE8S8ohRErocpkY7uJW4a,66,1043604
6sdq9VmQyqzh3cE6msHaXP,48,55110
4O5orcvZe8L5RbquVB6YMK,45,37486
7mWMzxN6IAIQ1tfFFtAiQv,65,5804
1KLRO4UHKmiwS0grGzFdgT,35,6596
5u98M7ByopCmwOoqzZXzCL,22,18
3345XgZV1etQCrX7YB2i4r,2,163
5WIdtUJe33eFpPU47tgVuf,10,468
6t4buzQ0Q1yFw4PnkeBXm8,32,6143
3zH5giTwRVntj4cnZWkF6A,46,23532
6c3SECesebWZwawIaWg6VO,0,0
2NJLAUSe3Ifk9MiHbddRAi,51,16231
6E9iWTfwVxPpUhQu4Nblsr,0,32
39AgPTHxIEp2QUozYYsnV1,46,343840
4CrDEHL7ysNabeYvL3xjUX,57,17472
6464frNa6A3iV5HovTeKd9,27,460
1DXddwyl1hvp7FR3EYkPSF,33,1884
0nYStwwY321ISCu6BGJq98,43,37797
7ELjk8iRPbhLku2XB6t6kS,40,14921
7kXCcNRLEnblbTAppPraBp,62,38383
6qkXtORh125Nk61NGFBLxi,0,0
6QBUIuGCAJSAtefEY1EEdB,50,70784
4YfzUV6h9GosDhtdLkwGwN,35,2344
1L4nOFaQKejFy75REi9BKh,64,8775
227yfva6O3LBBYJWNJHC6a,44,1331
2FwDTncULUnmANIh7qKa5z,72,1077250
4SwV4H2atecTIdXKyLfSfR,46,14636
0vFwy0tIUteS697qK1YtGZ,49,2984
7hs75D38FalYWr7BDO1WPh,51,3884
4bAoPku7d3g1A0P2MpZGjN,52,39849
1YyIIzRWYsa0kIJpqoSTRZ,46,27989
6c8akjSeJQw2NYemV6qVT8,65,2591
16XberediOtO5CaMrx85cR,53,373279
3LZCMaZWwvhYyQeEfWgVdY,54,164273
0Pphkx7yya7aVvA2A4IAu5,48,1275
5UI5BAymnE6i6PQppIIntG,32,120
4DjUSzKP28JRUYJKh2VwP0,26,21
6QcAf0VpES2VJU4Ttj686D,36,46
00TgUofD51utqGzkMdAbWY,52,294
5F80x2l9juqR6RLeuACpqS,40,36862
3VbF10G8uliKAGn9oZde8A,34,85
33qje3nPM5TBq2aBFny5IT,51,32723
4iWX1gEohz0OcIRt73fjrr,0,27
08lN7bm4Etec8ETFxaTUmq,66,1022659
6WSfT3T82GHspYEzx64N9k,8,23
7j7kL8K4GE1z5Cdxl7ucBF,54,45686
3omyT5zHz9QmE63xEk10OV,47,22330
3hwgckfLtTHdnkf694c7HS,55,403603
2MT1u0GqGp2d8XLjY3F8ln,43,2047
4G2UDRhQLUDq0f93giGYwA,53,192556
7xX15v6ahAkcT14kHfB9wB,55,105696
2vmZupMPxLgT8MNNXTRfa2,41,40746
492hDmhPyuIjP3MgTcIqgm,56,307296
0NO8SsF6umjI3iQJzTycVF,62,10167
1LMyTeRhjaitILs98h3MaF,67,445291
19GTcmEiAsyPeZtEXdx01T,14,1169
0UWZUmn7sybxMCqrw9tGa7,78,3631961
4hch8p1Mfo8MwyA5J6Vi9w,52,16343
2t3phHsi32Cr2jlaMQo5w9,26,937
6PefeNwACgFmAXbcQmVknr,46,54686
5xUf6j4upBrXZPg6AI4MRK,71,3399736
7FvGDeZRlTijOm8mQWELs7,21,161
1Pwd1KP0QpMW7BZq6EdTB0,44,1441
1K6LfIsbKVr0qFCVQ87oCd,7,184
7IRoR4g53yITjSH4jtw8p0,23,78
4rGrN4XDYhP6dUAZMvcuHr,57,66741
0z60F8toAJCUuhnUdbtFD6,50,66827
7jscV0qjTAm3RK46vBFkyB,10,16
5yviYTy79A8vuWF8iR6nPS,44,1967
19vSzy8s8Vc04MWTqExkLN,38,15432
4hc0iGxNhYfVr29Ua6WLlb,0,1362
5OsaAs9EI08gtz5EAeoxJm,6,132
0nzfP49X2nrzmmkwZf180L,77,1610
56U7KjfTWqtT1QiGCfmEPY,0,66
2zz1oe4mdF33wYffqFsRth,44,41449
008PpLcKUtVXle6JSwkq3I,65,1907838
0iCxUN3V2MB2iL3yTMgbhQ,37,13274
18gW08xNNP8xJRJW0EsgEo,36,304
031ZXIjZuiaU6ESOFNpGkm,37,3467
5zfEatKLDdRkgbw6sdLBAQ,63,224098
6WoyKYy6jUSlTtwQj3nNCn,41,64
2Wr4zHAWCYu4F7F0saUAiO,40,4659
0XEYiIh3AzMl9lBaT3gNz7,38,7215
24nUVBIlCGi4twz4nYxJum,66,627918
6z7oJJfl0VPdH5sFgogqMq,55,45352
0TkqXdyWLsssJH7okthMPQ,64,246594
19aTdoDuPPAPkx7au2g0zs,0,17
2rcsCDLsJw6erBukvjEsrP,53,27803
4ieCG6ylz8VnMkGMkiWpbd,43,11672
34qiktauDIjXznVqNvYxuv,0,27
73Ifh3j4V2PI6R5JNkcIyz,45,1731
0NzbQWVKdJjF1X8WfJLF7N,24,900
1snhtMLeb2DYoMOcVbb8iB,72,3581262
7a6TPrZH6MH6NFR0mlZLOg,49,167887
6uDohVoY075exRPPZhEDN2,0,46
1tqZaCwM57UFKjWoYwMLrw,66,784077
7FQIpxwDJ2hmbahSYU5FyC,36,193
0tWEMwBhcjY7Gzd0IwSDlC,22,385
3ASAxVN1hNoYfoMcIkzZWL,70,245892
7aJ3XiEqaKGFJKSpCzZPQu,47,1085
2gawanAXf3oqthyRrpq608,30,7
1LZEQNv7sE11VDY3SdxQeN,80,5365799
5aSJ7lyKNRh4luVJU9gT6p,36,3588
2CKMdJ99SusuXPNrNuBnOZ,25,1524
4SkjvCfwwXwqqEP6KrVh9m,23,20068
4GLkJJk8F8HvtIw8HO0UCD,11,51
2qVNQb6YuOivk9b4Lp2anA,49,200
5k33Wwmqe50DI0c0tF7X9y,48,1610
0KpEX9Hb9jJaxSEgDRMLbM,41,6570
5gIa74oRT4LLG0AioLVn6F,44,3548
3BX2N7cc1OrBUJQiiei3On,58,278210
3fbieTa6CXiJZ9iTMR9yeO,0,9778
5aMmmNxw4vgpc5XC6hK0zp,65,629975
3f0GZTXzBCmd5IBiMfsh1H,57,144931
2ZuJ3O0fOv3tkh6CFmyrf2,43,25784
2GwILMQr37VYZiTgC5fXUq,55,2328275
7dc6hUwyuIhrZdh80eaCEE,65,343473
1V2sJvNlPQYSO4Kf6GC3if,65,67587
5mFKYdmiYwNJTDtSzgFyQx,57,138037
2JvQLQBJZyJj2HfL6DFyl4,20,358
5dPBeuSKtu5vLz1Et8YSVv,62,353012
2ry5nwK1VNmh5zMZpmOAyc,39,4000
1Hg2H3Z46P8lXECM8DYSpU,53,18288
0u2TFlIJZJiir8Oi7YkbwV,36,17813
0oFiWQjHNvksJlD0aWzBZM,52,535562
60kysL4FgqddaXHTvH9nGr,30,189
0sc5zYshOdiFD4ayqMrJbJ,55,108222
4gwcqP9KI7qqpvKGLKBY6k,47,2234
4UffC3o3JiLSg7pa5DpQbp,43,48369
1PWbTbEdDUKdZUINip6bI2,0,2
3kjuyTCjPG1WMFCiyc5IuB,69,2028808
1n1LwioOKovaGd1aqATZ6S,51,11838
5AAzeysphag0NxJxLbbVla,61,549281
3UpmjPgIFSGqnxXuiwD014,59,44860
6YIqgghQqnkNne8BKQpW6v,60,334837
6h7LtkzHunGiOPhnv3HHVd,50,176297
3ygJTpJJIK7eEeC2EFRl9D,59,122401
741hBrsW9QzyBjMdKoAobc,31,922
2S5hlvw4CMtMGswFtfdK15,69,1395375
5sFsLpdO9AMdsYefHDcCyX,0,546
4iiGl6NwJLSG3UHNhgVCFy,33,808
76oRj8bdYsniX36EQNLZ58,44,4474
0sKY9AcBdiGx4FbFbQsXoX,53,156290
4okiIReqptfBJ5UULmWycZ,50,1882
30DhU7BDmF4PH0JVhu8ZRg,69,1291722
