id,artist_id,artist_popularity,artist_followers_total,main_artist
4JMsXkhUunqu4feO1a56ft,1g51NlHKUXlgfvGP22m0uD,59,827929,J SOUL BROTHERS III
2xg2rRWN2XbgXVpjpCIrck,7LvoDJUNGnOrPdGRzVtOJ9,68,1259584,Young M.A
2MSEQlNIJrLNBLfazVnJ40,5SulO4l40qDuV9zUGLZx7n,76,3140532,Capo Plaza
4S6Hlq4hGRFEtYOJm26EZV,1Vokrr21dze8HRk1oeWq9o,55,158598,Horkýže Slíže
6mV1VU6WeVi7IqFrAi2D2e,3Isy6kedDrgPYoTS1dazA9,85,3756568,Sean Paul
3KMc0U9VvdfO7prTinQz3T,4e2YUhdd1EKare0kqDSP8j,46,48155,Oslo Gospel Choir
0EcYKiQOkTbWaXoKri2Hph,0PdNEiQ3MsJGCEgE13Tz60,54,136424,Silence Wang
6kwOrSwpr6R6kLtz82dpbI,4Zwtv7Mc3eHv465GJ6au6n,40,49421,Billy Thorpe & The Aztecs
1aj1Y2wG82EsnYVJXE5Bhn,4FpJcNgOvIpSBeJgRg3OfN,79,1635904,Orelsan
06tS8DJvpQPGW9MBpbnuaL,1XYuC1vxinTjHCNd5clB8C,70,1659372,ARASHI
3SLIDzhExrfsvH6sVosiwn,3ZtIhDSOuRkpDyqjx53X1R,65,215768,Esteman
4bisT9khxJYFKaoG8pxq5h,4VMYDCV2IEDYJArk749S6m,89,25797127,Daddy Yankee
2qvZrqZIdrHtO5YxS7QFpV,5mTg1ztZByLRHsOEtwmT4G,53,216633,Levante
00efU9s1tVptQB3SUabGvu,3MXwHgXTLymeCniKY1H3aM,36,5922,Bridde Boys
3hZYJIRDVCq6Cg9d01B12j,0ZHPrnImGh4re3TbSNkoZl,74,2512761,Beret
3YATzehv8GyxWeQQEqHNS9,3sHU5vwszRfnJNhvcYNZdS,42,12406,Abin Fang
2B5hlXEiWAqZ9U6GwuyBSk,1tqysapcCh1lWEAc9dIFpa,80,2538361,Jubin Nautiyal
2yThC5EcMmKY0iCZbw94Ad,1gm1katIowFM22Ldqcw6DK,71,132649,Ricky Rich
