region,id,min_date,max_date,n_days
Netherlands,1pqnQ41XbfKjaFu6M0eGJp,2020-07-28,2020-10-01,66
Iceland,6vSwxzO2Qf4BinHSXRwZJe,2019-08-07,2019-08-12,6
Austria,7CkbRn6S0itJqcqn88AtSV,2018-03-16,2018-06-20,7
Thailand,5e2kHe2E8fK4Myaw67MEh9,2017-11-02,2017-11-07,4
Germany,7eH02ODwoSf5jW00VoNihc,2021-04-09,2021-04-16,8
United States,5M4yti0QxgqJieUYaEXcpw,2022-02-07,2022-02-11,4
Austria,1d7q712nXjG98HiwHk7HFS,2021-05-14,2021-05-15,2
United States,0GRmh4ZlobfhvDE9L4CbOs,2018-06-19,2018-06-19,1
Argentina,7HzaLRADmek8SLFmNwbKXi,2020-02-07,2020-08-16,63
United States,0ZoHHROTzwIYeNAHRPedTY,2017-12-23,2017-12-25,3
South Africa,2P22nuGMf26qeoX7P0oOuT,2021-12-30,2022-02-11,44
Sweden,0hY5iicvf6DGrnm9o3QV4t,2018-05-25,2018-07-07,6
Netherlands,7DB7w71TX2dsjOzDCM2T5I,2019-10-04,2019-10-31,28
India,0qXrd649dZwRM2ZuiZFmQR,2019-08-16,2019-08-17,2
Austria,0m4ZKA2izLfFp74EOu5ob5,2021-11-05,2021-11-18,14
Germany,0l9QYQ887XEQtRhrurvY8v,2018-10-19,2018-11-15,23
Greece,7faDzZnZYqTyYThx2sbHVQ,2017-12-10,2021-12-25,36
Ireland,0AS63m1wHv9n4VVRizK6Hc,2019-04-13,2019-04-15,3
Austria,3UIHEquD6KPltDpyRlVrNM,2020-09-18,2020-09-24,7
Mexico,3aW0ds4A4tSQDIp75FqWTo,2018-05-18,2018-06-01,15
Italy,0qlsxA1AXJDNxGDCBAbXh6,2021-04-14,2021-04-20,7
Switzerland,1mH6tZC6iXIHPI6EixCwxw,2017-12-10,2021-12-26,16
France,27OeeYzk6klgBh83TSvGMA,2021-01-21,2021-08-24,160
Sweden,4r2ZiFnJAUyJvN70QGomc8,2020-07-02,2020-07-30,29
El Salvador,7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,2020-02-06,1045
Guatemala,1hxyzHlH7qS3AZdOj6GmIO,2020-11-15,2022-01-02,33
Poland,2VjtYe7gpfUi2OkGxR2O2z,2017-08-25,2017-08-28,4
Spain,2dYJKHEqAUTCk2U9zntaS1,2018-08-31,2018-12-01,69
Viet Nam,5Um995yUx3GSJ6uNOMaaP4,2021-10-05,2022-02-11,130
Chile,0HINQFSerZ6iMfSsaTO3G5,2022-01-17,2022-02-11,24
Taiwan,4CNcRgjGw1v9VQaTaytdnD,2020-05-29,2020-06-04,7
Turkey,0fg8CqpjdojMyXLNzM2PaJ,2017-01-27,2017-05-10,103
Iceland,0AcicReEGm1qcENjqzh1Tg,2018-11-09,2018-11-09,1
Bulgaria,1wGnp7ejkCuXRsehXx0PNP,2020-10-02,2020-10-02,1
Lithuania,0H4y5gdPJJOQUUstDirCOD,2021-09-16,2021-12-30,36
Viet Nam,3ko9jEHNt4O5fjKN65ULJp,2020-10-30,2020-11-04,6
Philippines,4izg6Hydc6XGErWW6nbdsV,2017-05-16,2017-06-03,15
Argentina,6L74kj2KFdwfdLXTqyNvDN,2018-02-05,2018-05-09,92
Hungary,0T8qHE4gQPf8g9KjvjNmDq,2017-07-21,2017-07-25,5
Russian Federation,5wAeVKTBic1hFdD1lwCFzC,2020-07-24,2020-07-25,2
Poland,1B75hgRqe7A4fwee3g3Wmu,2017-12-31,2017-12-31,1
Hong Kong,7zYZYyaMmfsc7Jp4ZHd6UX,2021-07-07,2022-02-11,220
Peru,2r1T6xGTVaNAqBoPH4lZEE,2018-10-25,2018-11-04,11
Costa Rica,22LAwLoDA5b4AaGSkg6bKW,2020-03-16,2020-09-07,154
Netherlands,3uZXsILYX8b4Oyu1hCIT6E,2021-03-26,2021-04-12,16
Thailand,003eoIwxETJujVWmNFMoZy,2018-06-15,2018-07-06,22
Denmark,2ixsaeFioXJmMgkkbd4uj1,2022-01-07,2022-02-11,36
Costa Rica,7G49xPDPewxbSDkqEGM61W,2019-11-29,2019-11-30,2
Sweden,7nSR9og6LeW3rkBu5nGSER,2017-08-11,2017-08-11,1
Lithuania,28FGV3ORH14MYORd7s5dlU,2018-08-31,2018-09-24,25
Netherlands,6i0V12jOa3mr6uu4WYhUBr,2017-01-01,2017-03-04,62
Denmark,0TlLq3lA83rQOYtrqBqSct,2018-07-20,2019-01-23,142
"Korea, Republic of",3yII7UwgLF6K5zW3xad3MP,2021-11-13,2021-11-15,3
Belgium,0Z26mbSHJ1dkUu7g9DDgif,2019-10-25,2019-11-28,35
Hong Kong,7MAibcTli4IisCtbHKrGMh,2021-03-05,2021-11-11,252
Ireland,2r6OAV3WsYtXuXjvJ1lIDi,2020-09-07,2021-03-03,108
Portugal,3a1lNhkSLSkpJE4MSHpDu9,2017-02-08,2019-08-25,604
United Kingdom,4O2Ik3niDOidE9C47QB3GX,2018-08-11,2018-09-26,25
Hungary,78pn8k7RogKo2oxl0DyX6d,2017-12-10,2021-12-26,81
Thailand,2PSeBKFabj27ud497FxQQy,2017-12-18,2017-12-22,5
New Zealand,70mIuBKGTPrWMwWq9D4F56,2017-01-04,2017-02-22,37
Global,78YTl0P96kBCBXUSzKoqAm,2020-12-25,2020-12-25,1
Global,33IOhptvC2Qoy2UhjiHXLV,2018-03-23,2018-09-13,175
Bulgaria,4KpKyRFwN0gcwj58Uqjv7q,2018-12-07,2018-12-07,1
Switzerland,7LRmDx4pMTQuOBBwRT1MCT,2020-04-22,2020-09-09,141
Guatemala,2YNUHttNUe9rI2I8fWkU2x,2019-05-31,2019-06-03,4
Viet Nam,2NMmW0mCNfLghRxcE7TyjM,2020-11-09,2020-11-23,15
Israel,3veP41hqImUDYUhBbnZG90,2022-01-15,2022-01-28,3
United States,15eaTEZMA2CqOxBvyuosLI,2018-12-14,2018-12-14,1
Malaysia,5XiZK7m9PLppgIzJBpw2x5,2017-08-21,2017-09-15,26
Global,1qDrWA6lyx8cLECdZE7TV7,2021-02-18,2021-12-29,141
Netherlands,2wDjpPW3HZdA9quPPmZAMu,2017-01-02,2017-02-02,32
El Salvador,7dbka99KTWke5o9hRp0JoB,2019-02-22,2019-03-08,15
Finland,4OdVWcLwTqgFQJNAMLaur9,2017-01-03,2017-09-14,133
Austria,3ou9K7ew2BDWiAFZU7QmZn,2017-06-04,2017-07-13,5
Global,40oKW22ZNNkEdZLJTScaQI,2017-08-22,2018-07-02,238
France,2FHsE83xbrzzWusudCFpg1,2021-06-14,2021-08-02,29
Netherlands,5LibBRN1juZ7RiUR0e2Hax,2022-02-03,2022-02-11,9
Romania,2U12JbtnFSYa5Av5wEcEDX,2020-02-14,2020-02-14,1
India,7ubcUpGvWOQf5ae5dpZb6b,2021-07-14,2021-07-25,12
Ukraine,6iBlllot0wdy8f7V5t8OnR,2021-08-20,2021-09-06,18
Honduras,1NhjYYcYTRywc0di98xHxf,2022-01-07,2022-01-10,4
United States,1VbClJ27jcsMNmOxHnXlKV,2020-05-01,2020-05-02,2
Turkey,27t7YHIlw0u1uVO302wpvD,2018-10-05,2018-12-13,56
Slovakia,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,2021-08-08,489
Honduras,4Z8HZSApeddaRM2ovivUj4,2021-12-20,2022-01-13,19
Germany,4ibRthHhVXBMnXox4lNB42,2021-10-01,2021-10-01,1
Switzerland,1CoD4tVvtBoW9Tzb9FaDsM,2018-06-15,2018-06-26,12
Dominican Republic,3xD6kwkNjCTEKvMT5zgHAx,2021-08-27,2021-09-09,14
Norway,4eVU4U063iMLFJFXb9kzkb,2020-08-28,2020-08-28,1
Honduras,4QsPTKvdpgkA7mBAvclZTa,2017-01-01,2017-02-11,2
Australia,1DNA2z7Txysjk3cNz2nDLm,2021-11-09,2021-11-09,1
Guatemala,5cepAtqnEQ6yVG6088zMMu,2018-05-18,2019-01-05,205
Morocco,5LyViLHbmjbJgQwwNgKEEH,2021-10-08,2022-02-07,123
Panama,4TgxFMOn5yoESW6zCidCXL,2020-10-02,2020-11-20,13
Canada,2SLxnK1zawTiQM9fUbcr4L,2018-08-31,2018-08-31,1
Australia,6wW71rjQn2HqFfRwZD0M0c,2020-05-14,2020-05-26,10
Romania,5DSfqrLkUHLZ9bW0SS3rVy,2019-08-16,2019-08-16,1
Costa Rica,6o3QUC5oAE4g6WxRIFcZtb,2020-07-10,2020-07-14,3
Dominican Republic,4OAuvHryIVv4kMDNSLuPt6,2021-11-12,2021-11-12,1
Czech Republic,3X227t29xPDsAoqBrRIPDW,2019-05-03,2020-03-15,169
Paraguay,0JP9xo3adEtGSdUEISiszL,2018-06-18,2018-11-26,121
Israel,1xbtojAZsQjOgiGdGX6ChU,2019-06-11,2019-06-25,15
Brazil,3MmG2m3axMEYjs3wMNLvF6,2018-02-27,2018-02-27,1
Viet Nam,2zrhoHlFKxFTRF5aMyxMoQ,2021-05-17,2022-01-06,179
South Africa,135Lf4Q0CzlMNfOxbEUsLH,2021-11-01,2021-11-22,17
Italy,73QeTKIEeFWPpGsfVhtnQj,2019-05-10,2019-05-27,16
Indonesia,4Q8aDd3H6LF8t4eY7So9O8,2019-04-26,2019-04-26,1
United Arab Emirates,0ECs7wpW9157Tk5yBUGbE0,2020-06-02,2020-06-03,2
Norway,3TLwAp3uX1nKsVxrDhNPOL,2019-08-30,2019-10-03,35
Luxembourg,1HbA4N1MiOsPthALesGFR1,2020-12-04,2020-12-31,12
Belgium,2B4GHvToeLTOBB4QLzW3Ni,2021-10-01,2022-02-11,134
Chile,02qrtIRuwbGgs2wCvdOFme,2021-03-19,2021-03-30,12
Nicaragua,4VqTRBvYg0z8C4nsl4Hupy,2019-09-06,2019-09-13,4
United Kingdom,5HqRQwSAPAgJBQ3bhtpUTg,2020-01-31,2020-01-31,1
El Salvador,6cy3ki60hLwimwIje7tALf,2019-10-13,2020-06-18,250
Estonia,39umHdGKfpnjY4TFtnoQ51,2020-10-23,2020-10-23,1
Bolivia,3f5lA8nnc4YYF1qf78WpHw,2019-03-04,2020-08-18,517
Denmark,7aiClxsDWFRQ0Kzk5KI5ku,2019-09-19,2020-05-14,234
Romania,3cphb8kdsjElYR7r5icK3H,2019-10-10,2020-02-18,94
Latvia,0QDoAvqmX85T0ZTyHrcj7m,2017-12-24,2021-12-24,5
Spain,17Fd6Yb7mSbinKG8LoWfFl,2017-01-01,2017-06-14,150
Poland,2QH0jR41d11GTubjRSRdJo,2022-02-04,2022-02-06,2
India,4ZIvqmpihn94QyFfGcQtdZ,2019-02-27,2019-06-06,71
Denmark,2lYTJK94hb0fd1LQtb6Dhk,2018-07-27,2018-09-13,49
Hong Kong,1a5Yu5L18qNxVhXx38njON,2017-01-01,2017-03-06,64
Norway,1jDbQz6tr52WgScCTXMnaN,2020-03-06,2020-03-07,2
United States,5KCbr5ndeby4y4ggthdiAb,2020-10-02,2020-12-03,63
United States,748mdHapucXQri7IAO8yFK,2021-04-09,2021-06-24,77
Austria,7aQhqSmJKMPBKiYNX0pFaq,2018-03-09,2018-03-09,1
Belgium,44ZJ4hLD5onikKsVLQaILr,2019-04-29,2019-06-05,33
Denmark,5b2QnYcT9rQIkhRWt4HztQ,2017-11-10,2017-12-05,23
Bolivia,5ltjit47pp6nXwhYpkilYd,2021-08-13,2021-09-04,23
Finland,63Hcp32nBv3Xzf5iKNuHy0,2017-07-07,2018-03-31,235
Costa Rica,63Zaf8Rci6eOUPqDQ4fUFx,2020-04-17,2022-02-11,663
Austria,7JSqlTT3QoWkSFm616PdZH,2018-12-24,2018-12-24,1
Portugal,0IhTEIjFaRt3B2NQYf9azQ,2019-07-12,2019-07-12,1
Sweden,0xMnnTyxX6I0mbWIpVabrl,2018-01-05,2018-03-23,3
Panama,2VWbHHhWnMzKWPUs4IEEW9,2018-06-29,2018-07-19,21
Czech Republic,3LFbTLSRuBLeUdu8lKSnus,2017-07-15,2017-07-19,5
United Kingdom,72kzJl586GwOQrOQ1doSH0,2017-06-20,2017-08-09,28
Brazil,6q4gQcJ1JousmpmUTw0E5f,2020-09-26,2020-11-01,15
Hungary,5aXgz1oKK8Q9z9xvTmSnrO,2018-11-19,2018-11-20,2
Canada,3D1RicOEL8lpf4MIuKc3qj,2020-05-08,2020-05-09,2
United States,6DNtNfH8hXkqOX1sjqmI7p,2017-01-01,2017-07-12,111
India,7xbWAw3LMgRMn4omR5yVn3,2020-05-15,2020-05-28,14
Greece,3Q4gttWQ6hxqWOa3tHoTNi,2020-05-01,2020-05-03,3
United States,2iicKPnvOKfbJZJZtuQnjy,2018-09-28,2018-10-07,5
Morocco,4Lt6GXGzYsa1tgkv3nGSTm,2021-02-11,2021-02-11,1
United States,1GrnyQe1SFOb1T5vb5T54q,2021-10-15,2021-10-15,1
Canada,00mrTzjxIRuWJY01sRBJmO,2018-10-03,2018-10-03,1
Sweden,4rTZbEQtDtlZZW1Ag9Umbk,2019-03-22,2019-03-22,1
Brazil,7iKDsPfLT0d5mu2htfMKBZ,2020-10-02,2020-10-08,7
Canada,1r33iukEx0COYuBzyXPmPP,2018-05-25,2018-05-26,2
Switzerland,0Dpng1mlDYSt3X6506kdsT,2021-02-26,2021-02-26,1
Guatemala,7FEmLU7M5aZ5O7FlOdxB33,2018-08-28,2019-03-21,206
Hungary,0GRoERSBBky3YgdKW2w2Vc,2019-04-26,2019-04-26,1
United States,5EVzgDPaM0LCM3M5exl3z8,2021-07-16,2021-07-19,4
Slovakia,4gpk0tV43EHyRYOlYdCBJi,2021-09-14,2021-12-09,87
Guatemala,3gD4J3RUHy4OUuZ3qAiaiG,2020-06-12,2020-09-03,84
Luxembourg,6kxErsVgalFeBlxRfHCuUv,2021-04-30,2021-04-30,1
Thailand,32h6yQGn4oAhZ0HRsTMX26,2019-03-04,2019-06-03,84
Ireland,1kusepF3AacIEtUTYrw4GV,2017-01-13,2020-08-15,21
Global,7vgv8KZBSo0TPzyIWG9yzV,2020-03-18,2020-07-07,104
India,3jjujdWJ72nww5eGnfs2E7,2019-12-13,2020-05-21,125
Greece,6n8TMVyFKoUmDc4apxceRD,2017-07-21,2017-07-21,1
United Kingdom,3tNE4i6TBqMdyTZxHDAn9B,2020-09-18,2020-10-31,9
Denmark,5TX0mfUkpGlU6j2xa00ERx,2018-05-25,2018-05-25,1
Chile,0k4d5YPDr1r7FX77VdqWez,2021-06-25,2021-07-29,30
United Arab Emirates,4GVwjLRT7oSsKby7Vy8EHr,2020-11-20,2020-12-01,12
Argentina,3tuTHXHFLKekzy0SJRlQ4h,2019-05-13,2019-05-15,3
Colombia,56CvVCJYRQNWwM4vF4neCD,2018-10-29,2018-11-07,10
Turkey,1pY2pmZz4GZ8NhecG4zu4p,2019-11-15,2020-03-03,95
Austria,3swc6WTsr7rl9DqQKQA55C,2018-04-27,2019-03-06,222
Israel,1x98eBqmkXlKvRpZXGMwLU,2019-04-14,2019-12-17,226
Finland,3PtWhBd08Ej51SB1aHZx8J,2020-09-18,2020-10-08,21
Paraguay,2V4hc5gplg7EXlrRUvD4rp,2019-05-10,2019-12-17,137
Belgium,4JDjZ2AzlHnde5uUy0TveV,2020-11-13,2020-11-13,1
Sweden,3GOjD8hwXOxbTF3apTqSqX,2017-12-15,2017-12-15,1
Brazil,7MbT4I8qGntX4fMdqMQgke,2020-07-24,2020-07-24,1
Russian Federation,0rJ0G0gJomdi076uYy4c6A,2021-04-23,2021-07-01,70
Ukraine,2UAWkV8SrD1f5ug3a4IRJn,2021-09-10,2021-09-10,1
Morocco,16whsA6oQEJDzjKWa4hept,2021-01-04,2022-02-11,404
Finland,1ojFYRefJzbAHXvol0NGHz,2017-06-23,2021-12-06,10
Taiwan,5hff5RQeE84pznOt8WEWeO,2020-02-07,2020-02-28,22
Indonesia,5sMfjW6KjqOM08KoeUIIKy,2017-01-26,2019-05-02,300
Thailand,7l2tmgUhV7Y2aJHjiszifg,2021-04-08,2021-04-08,1
Denmark,4lD7gHKF1e8Y9stQuVezZB,2019-02-08,2019-02-20,12
Norway,6Tx5z5Vzve0j0UklMxMOoi,2020-11-27,2021-12-26,63
Lithuania,6ItU1UeYWhTAOg0AN7iJtV,2018-06-22,2018-06-22,1
Canada,1mAey8kEPmDM2icL56kS9d,2021-05-21,2021-07-15,54
Germany,0u2P5u6lvoDfwTYjAADbn4,2018-05-21,2022-02-10,693
Singapore,5hVghJ4KaYES3BFUATCYn0,2019-05-17,2019-07-03,48
Bulgaria,4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,2019-12-17,136
Norway,22O2Zdfj3jnJZDSzlDMAJp,2020-04-01,2020-08-06,128
Saudi Arabia,1mKYnFjo4txS2ZFqPlGQ89,2019-06-05,2019-06-30,25
Denmark,3ZBCSLnW5D5XpFk9VrXxN6,2019-10-18,2019-10-18,1
Mexico,33XISWpHJRbAvFSMW1y44A,2018-07-07,2018-07-15,3
Finland,0I5sNi0lo9qg12GNUzDR6M,2021-10-22,2021-11-01,8
Belgium,2Z3JFtEtjjnEz01f6yztFI,2019-04-12,2019-04-25,14
Morocco,1KZXzp8MHucI0ynGk3DgRx,2021-03-04,2022-01-10,313
Sweden,5T03itPFOPGGkvVPvPiyla,2019-07-12,2019-07-18,7
Taiwan,18ImQnN3yZxL6vDQiOvata,2017-01-11,2017-01-11,1
Taiwan,5BORybllcNNjapY2shRHy1,2017-02-17,2017-02-17,1
Spain,3K0mGCNM3VcORd1cwsM0OJ,2018-09-27,2018-10-04,7
Iceland,0lCf7sZrGyEAKrfA1AXG11,2019-04-23,2019-04-23,1
Greece,4KjASaPtCvRJ4YArYpz6je,2020-05-22,2020-05-23,2
Paraguay,6ANR2ylLSFSYcycw8JUnvi,2019-04-26,2019-05-31,24
Canada,3bH4HzoZZFq8UpZmI2AMgV,2018-05-11,2018-07-18,61
Argentina,5ZF3889W92eTBOROe0lPNN,2017-06-17,2017-11-03,140
Taiwan,5bRV1AXrsOvPRp19ozf6o6,2019-10-01,2019-10-07,7
Mexico,696DnlkuDOXcMAnKlTgXXK,2019-11-26,2020-06-04,185
Malaysia,3IktbbAbZqczBDQxCoJOyP,2018-11-21,2018-12-19,17
Honduras,2kJu14V7hbZw3I4K8L8SXb,2020-02-28,2020-03-19,21
Malaysia,5aUSEPNd3m5xliFK4pn5mU,2019-09-30,2020-01-31,118
United States,45DANEAozzOPHrqmERidgn,2019-08-09,2019-08-11,3
Finland,4FMR3LE9lxvhgVLErzNQRc,2021-09-10,2022-02-11,154
Philippines,300nzoKtNDcwlNCZpF58be,2021-11-13,2021-11-13,1
Canada,5xE8cBcKRjKEDdJwmh1ixN,2018-09-28,2018-09-28,1
Italy,2Za1AlJNvksouPPWbXpR2X,2017-09-22,2017-11-14,31
Greece,4igJrnO72utkkJCUr56zFS,2019-04-03,2020-03-09,205
Czech Republic,2rwis8oabDTBYt3eOYhVR7,2020-10-02,2020-10-07,6
Belgium,4R9ATNRRl1uth17i5qDCc0,2019-08-08,2019-08-08,1
Portugal,1hs2hRwPfyFLoYIf6jY1W7,2021-08-28,2021-09-19,12
United States,31td5q7SygjNQODOGgls0x,2019-08-09,2019-08-14,6
Portugal,5vuiHi3QYbwcm1OKJOYnrf,2017-12-22,2017-12-22,1
Ireland,5lsRkYiIerlfXMMrl4zkJG,2017-10-20,2017-10-30,11
Canada,19Fcrc0nJiwMKom00gS9SW,2018-08-11,2018-08-13,2
Slovakia,2VBYFWgwIlJjyzidPTHQqp,2019-02-01,2019-02-01,1
Colombia,0zzsyWc45eUcSjw4FNHxeN,2020-05-29,2020-05-30,2
Thailand,4eSErRhCb0e8LT0tueurfQ,2021-07-26,2021-08-27,30
Saudi Arabia,2alc8VZAzDgdAsL2QMk3hu,2020-03-25,2020-09-24,167
Belgium,4G0YpYB1Ullb5rgJeJoMcP,2017-12-23,2017-12-25,3
Finland,14mHfNsSHN0FbLftyjrV9g,2018-12-17,2019-02-07,46
Paraguay,189ZkWdzkPWrNy5HmGW4XA,2019-10-04,2022-02-11,862
Italy,2JWsWho5oEwLgX5gLcVk6E,2020-10-08,2020-10-14,7
Lithuania,4zTPYAf5scZdp0LnwPPeWK,2020-05-22,2020-06-04,14
Honduras,1DRJZUVcs6i6TkdNUXAi6m,2018-08-01,2018-08-06,6
Global,03T4ttRCiLXST6MZjeMwmR,2019-11-22,2019-12-04,13
Czech Republic,6IcrwGdIvRsrImOnoYfG9Z,2017-02-20,2017-07-12,4
Malaysia,2kqnQCChvRpDRAasIwc4Rh,2020-06-30,2021-04-18,272
Taiwan,3PIDciSFdrQxSQSihim3hN,2018-12-24,2021-12-25,7
Portugal,20on25jryn53hWghthWWW3,2021-11-03,2022-02-11,101
Singapore,2FWKbF1s4s5Z8ZQkyIGNQU,2020-12-25,2020-12-25,1
Italy,3Z2Dosnj8Rbx41qcslwQGy,2018-11-22,2018-11-29,4
Canada,6iiAfo4wTA2CVC3Uwx9uh8,2021-04-09,2021-04-13,5
Chile,3JgGutjAwNXGAxcXaqVgWe,2020-09-23,2020-11-10,47
South Africa,0eeeyCAGnGZInPtpkdYiPa,2019-04-12,2019-04-16,5
Indonesia,1nO67wic65N413c11zKxM7,2018-04-21,2018-04-22,2
Belgium,4IQkfUsrwXol38VV3U7t7T,2021-11-12,2021-11-16,5
United States,6EW1fwOk4JHmTZKINZsyjB,2020-12-04,2020-12-05,2
Slovakia,4XLu3tTSZiPFVC9mmuR6Zp,2018-01-12,2018-01-12,1
Saudi Arabia,2gwkD6igEhQbDQegRCcdoB,2019-06-04,2021-06-12,35
Costa Rica,1cVlW9WQiGlFdWUXFdFZGh,2019-09-07,2021-03-18,557
Sweden,7CqRqkoBUZvRL0OmtZfkIr,2018-03-02,2018-03-02,1
Italy,1RLMFGIejGoXXQFBtzFmgJ,2020-08-22,2020-08-22,1
"Korea, Republic of",1HbA4N1MiOsPthALesGFR1,2021-02-01,2021-07-04,124
Austria,2WWruw7ul9N7eqoHELyMc2,2017-12-15,2017-12-15,1
India,7El6rXuDiiMNreCDv5QKBD,2020-10-27,2021-01-17,79
Peru,2LW4Zu7FcrwjWm3t5Rv3Oq,2017-07-25,2017-08-24,20
Switzerland,7E1jVNoWuemqUryI4FxsVD,2020-10-31,2020-11-03,4
Finland,35QZaWQRkmnAVqBF1TLCxQ,2017-03-03,2019-07-24,24
Malaysia,3qEkvzfkCjtTInMdywOu1p,2019-05-11,2019-10-01,144
Honduras,3TnhQSRwT3AVMdXw5JPq0x,2018-04-05,2018-12-12,252
Belgium,5nCh1ndK8yigIS1HnygeDg,2017-11-24,2017-11-24,1
Dominican Republic,3Dwq1oiOFys6Sxr5SslmXw,2017-05-12,2017-05-13,2
Poland,1M4qEo4HE3PRaCOM7EXNJq,2019-12-06,2019-12-12,7
Czech Republic,28aEiMfveru430xmXhDCy3,2019-08-23,2019-08-23,1
Ireland,1bhUWB0zJMIKr9yVPrkEuI,2017-12-01,2018-09-16,276
Italy,4xNDNQMmEBuitURr5zsR9J,2020-02-21,2020-03-02,11
Costa Rica,0bhnUFDQFCEHCBlsQfHnj5,2018-04-20,2018-04-20,1
Switzerland,5Fz0oPdftpoFLOPWKNhAhj,2018-03-02,2018-03-02,1
Taiwan,5nCthAh3jt4xKuLJAifAaR,2019-10-17,2019-11-17,32
Germany,3EmCRdONSwuGJJJWPghRjd,2020-07-31,2020-09-03,35
United Arab Emirates,6oAa31g091sMNe1TKo5LBS,2021-07-22,2021-07-22,1
Latvia,6uAm7pG66O1XesXS9bpHSF,2019-07-15,2019-08-20,26
Austria,2UVbBKQOdFAekPTRsnkzcf,2018-01-29,2018-03-29,60
Bulgaria,51iXf0uczhZaNjva8wADBv,2019-11-14,2020-02-28,78
Global,4uCbetXW9LStYPUjCpBVp9,2018-08-16,2018-08-17,2
Ecuador,2rc7BkzO8qepMFAxHtOrXc,2019-11-15,2020-03-19,126
Dominican Republic,3a2aBKuvgP1qHo3BqU3lGh,2017-12-01,2018-06-16,185
Greece,4zIO3ilp5HvTeK3HJHxhMP,2018-07-20,2018-11-08,112
Panama,5PYQUBXc7NYeI1obMKSJK0,2019-05-31,2019-07-18,47
Morocco,38iBrrbbXyWaSPkmuDNgjZ,2020-07-10,2020-07-14,5
United States,6bNuwzORFWORu9Ym7dBCPl,2018-12-23,2018-12-25,3
Saudi Arabia,1BYZxKSf0aTxp8ZFoeyM3d,2021-09-30,2022-02-10,103
Global,3pWcj8hxj3fsb9TDAcMpEl,2018-04-20,2018-08-02,105
Mexico,5mqzhMuUpvnMfwNz6iepmO,2018-05-21,2018-06-12,23
El Salvador,2yFGylyE6vbZQKXVZcvWFj,2020-01-01,2021-01-01,3
Turkey,53QiI2eOSXB4GPkPsoMd0I,2017-04-02,2017-04-16,10
Ireland,4Im60Uy1dEQQaIFgcLUrtj,2017-01-08,2017-01-08,1
France,6XJy3Ue4r9nof4WcXsFERE,2017-05-19,2017-05-19,1
Taiwan,4Ixin6qEzrqGr5rSJhKyrB,2019-04-15,2019-04-15,1
Hong Kong,1uNzuAz5iL9AfCpJ5Wwb0q,2017-11-03,2018-09-28,326
Norway,0qbfdprRS71e9up5pOmbQo,2018-10-05,2018-10-05,1
Hungary,3VTNVsTTu05dmTsVFrmGpK,2017-12-02,2021-12-26,74
Slovakia,3B7FO3kJ5kv3mX7yiaB7sT,2018-12-21,2019-12-24,6
United States,0PDCewmZCp0P5s00bptcdd,2018-07-04,2020-11-26,2
Switzerland,4TrvUNfkdZlispdilpoYj4,2019-02-08,2019-02-09,2
Switzerland,0SkGIhZtmDJ5ggyeDsCNkf,2020-05-15,2020-05-15,1
France,6IaieqiCVvsNvEt6Y7yOFa,2018-04-27,2018-05-03,7
Sweden,4gxukDJiwApNEgVIh4pHgT,2018-08-24,2018-08-24,1
Finland,0K2zoWm3uEhPvLuf0zrSVR,2019-06-21,2019-08-01,42
Finland,2HbYLDA1SigY1ilC94ieVu,2018-05-11,2018-05-11,1
Hong Kong,4Of7rzpRpV1mWRbhp5rAqG,2019-05-19,2019-11-20,47
Hong Kong,2pYSB4jUkWDmoZqfJUKV0g,2017-01-02,2018-06-18,397
Dominican Republic,7kGDAuP9P8mT2epyDwbdDj,2020-08-07,2021-01-05,60
Romania,6XAdcAseYtijN0QUnQFsH2,2018-12-24,2018-12-24,1
Switzerland,65irrLqfCMRiO3p87P4C0D,2019-12-21,2021-12-26,32
Poland,60IkVf7UfQXmt5CwkpcX8a,2017-07-21,2017-07-21,1
Switzerland,43aHoeHvYOBBvzZdopsA4e,2018-06-15,2018-09-30,96
Norway,1EJIcDYXwSqipW5dFe4uJz,2021-04-30,2021-04-30,1
Peru,3w0IdrfXrlmvESogOesvOf,2020-01-31,2020-04-04,63
Indonesia,2dpaYNEQHiRxtZbfNsse99,2018-08-17,2020-02-01,524
France,6hwmbNOPBzV8ZIngx7jBRH,2018-04-20,2018-04-27,8
Bulgaria,5lcIegmdblnWqT9nS9EhZj,2020-07-10,2020-07-10,1
France,1W9mZ3CNKQmLZ73HCRXuXT,2021-06-18,2021-06-21,4
Sweden,2Tygi6naT0HzYIF7thdbEc,2021-03-10,2021-03-10,1
Sweden,2mSIu1ZPo22Ihx3EwS4E6h,2018-07-03,2019-09-12,426
Paraguay,4nVBt6MZDDP6tRVdQTgxJg,2020-07-23,2020-07-23,1
Russian Federation,6jy9yJfgCsMHdu2Oz4BGKX,2021-09-03,2021-09-05,3
Guatemala,2uFaJJtFpPDc5Pa95XzTvg,2018-12-24,2021-12-25,6
Japan,4pLwZjInHj3SimIyN9SnOz,2017-01-01,2018-07-02,540
Hong Kong,2lDWYLNnfYyXngjz4plpy2,2017-01-26,2017-03-18,50
Singapore,51ChrwmUPDJvedPQnIU8Ls,2017-03-03,2019-05-02,395
Bolivia,0eNe9tTxrXzyoX3DSeJEDN,2021-11-12,2021-11-13,2
