danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.504,0.837,3,-2.917,0,0.276,0.253,0,0.155,0.801,179.877,6aIrHPvM3l16MeS7iOQRYO,178960,4
0.545,0.76,10,-6.645,1,0.0337,0.053,0.0214,0.239,0.47,164.056,0GBsjPNRpTkLRcgmY19cx6,282640,4
0.806,0.929,10,-3.475,0,0.232,0.164,0,0.157,0.332,105.07,3Tzgr29bOgxVSS71bpeoLJ,181589,4
0.527,0.928,6,-5.882,0,0.0439,5.84e-5,0.0522,0.343,0.552,114.041,7uOJu8oh50V6rhJa28vlrm,214495,4
0.84,0.575,8,-4.789,1,0.0458,0.352,0,0.202,0.862,97.043,4E3aTXze2iZQBERkI7eUoW,237576,4
0.566,0.44,11,-10.092,0,0.0394,0.733,0,0.159,0.532,78.885,7MHeXnWHXYBkK0npLECaP8,209467,4
0.808,0.651,1,-4.285,0,0.0625,0.055,5.18e-4,0.0801,0.491,102.023,63FVUiJ5vaaPlrFG28oPZT,192941,4
0.733,0.552,7,-7.404,1,0.0993,0.0833,7.59e-6,0.141,0.279,125.311,1ShHhJlzaLuoZbJ3aP4z0m,197307,5
0.653,0.597,7,-8.308,0,0.315,0.218,0.0524,0.446,0.541,174.73,3Hq55qsVJAS2AlZj2wclXj,156867,4
0.875,0.673,7,-4.184,1,0.0932,0.135,0,0.292,0.231,130,376KnY4TrgBITxjlnbnmIy,222600,4
0.736,0.692,5,-6.203,0,0.108,0.153,0,0.103,0.656,153.186,4NSljHZ9Uwr8uBwKgFisR1,158392,4
0.662,0.771,4,-5.998,0,0.315,0.104,0,0.374,0.507,102.965,5lQNRnjXl7BjAUUkHyfCji,195225,4
0.702,0.55,7,-5.792,0,0.0794,0.589,0,0.14,0.486,100.926,40A7Ox0x6FA8v9QT2TSqpg,185787,4
0.748,0.689,2,-6.221,0,0.218,0.25,0,0.292,0.445,90.035,3O8wREdosF8kHyd6KgUpEj,194645,4
0.801,0.604,1,-7.828,1,0.423,0.00266,0,0.159,0.359,118.091,3hmrgEKcLEQi0rlk3mJfZ7,249934,4
0.853,0.585,5,-8.659,0,0.0506,0.164,0,0.0808,0.807,130.072,4BMFHmawdG3nYzpS7VHbaW,164611,4
0.578,0.697,0,-8.703,1,0.0482,0.0258,0,0.0836,0.137,93.878,7tTGnGLuo2hSaJpNCl19IT,217028,4
0.572,0.155,6,-14.405,1,0.0344,0.835,1.37e-4,0.0906,0.0949,109.923,18UsAG7SfOQ5sxJEdjAMH0,256689,3
0.781,0.541,9,-6.292,0,0.0392,0.196,3.53e-4,0.0906,0.832,133.792,6YKKSegyatUenOnrb7yIPG,226987,4
0.515,0.556,4,-8.755,0,0.0318,0.178,7.35e-6,0.126,0.381,92.115,2RKLKjagHoASJaW1VTPBgr,204986,4
0.834,0.665,2,-5.236,0,0.0473,0.464,0,0.0947,0.921,109.528,5dcPkA3wLGsBpKClKG4LyI,185760,4
0.528,0.467,5,-12.585,0,0.0293,0.21,0.045,0.241,0.398,94.994,1SfN31KveHXNWCr6es8GGU,255713,4
0.412,0.928,11,-5.5,0,0.397,0.0525,0,0.0964,0.607,159.475,1EW1ApmkymvxOyJSpkqrZV,199307,4
0.73,0.602,4,-6.516,0,0.136,0.331,0,0.065,0.317,95.968,7zvJJSvtKG6Y6akyoDsOzu,213000,4
0.689,0.806,5,-4.811,1,0.0387,0.477,3.78e-5,0.13,0.937,90.998,4CgtK4uHzb9bZHgEDYgHEl,271707,4
