id,popularity,label
4EgPfZ0IzHjQODIkFmAZzm,0,Hear This Music
5ouQIxrRj3K0OqwKB66Qk8,50,Minos - EMI SA
3JWVglFWixOUH9BraGkQOw,15,Stereo Stereo
3Q149ZH46Z0f3oDR7vlDYV,1,Roc Nation / Rihanna
2CV86ZVlL1h8DofUs7kIL3,0,에르타알레
1P0J7xsPXIQMW56rxHe21u,0,Universal Music Group
3FxT1ChxLEd7J6CNXILenF,0,Azet & Albi/WM Germany
7bhAX6cU5Rw8BCIPhVk7w2,0,Hatim Ammor
4sDGo9aQ0A2SUzYBkh6pGd,0,Copenhagen Records
6YZcpfaEGtVxr4pmVpZsyE,11,Sony Music Labels Inc.
4TkmrrpjlPoCPpGyDN3rkF,64,Atlantic Records
3MXBHssSBvGLN9BPsCWqJR,20,GMM GRAMMY PCL
5DHv4n2g6Zr1wvosLEKxAL,33,Sony Music Entertainment
6piwiV4MzgOO2kXs4Ws1NA,29,Universal Music AS Distributed Labels
5jUFcwZUzmncy3BoqnIw3d,49,Sony Music Entertainment
7uBztHlyuZ9oSE4faTYWXX,46,Atlantic Records UK
3WsRdU3hVJU5YWCB5FT3M0,40,Universal Music Pte. Ltd. Distributed Labels
15XQchcBGqAIOK2F6xLX61,25,WM Finland
1HJ34zQqSqNvZeO2W6dE01,75,Universal Music Philippines Inc.
5l4HpJOrcyucxV4PkIgZoL,60,WM Italy
1arfUNXRAE9mG0P0PBMqmM,33,WM Finland
3EUNQSlJDx66zBXQFtRXjZ,58,Capitol
3rQPXKvmifOrC1pSs9BMTN,33,Occult Rec.
1IPsAkgsIkrVfIZ2qhQkOX,28,Cat Music
3oi89xD3a3pnxRuagFVSVP,50,P2021
2tvC3DVgiNasoVyIrnwmpi,21,Go East Music Entertainment Consulting Limited
5EttsNjE7IUE5kKNzty72G,36,Sony Music Entertainment
6AzDzLrJ0wxZnzW5Pg8QD8,22,WM Finland
54lVKhg9g9xAzZjMU46ay7,64,Mainstreet Records
67reGOt8IcJCWqJyzhEEFC,3,WM Malaysia
30Q19hjRiP8NtoEw18FyVb,0,MWS Records
1d1vI3sQkPspPDHjZEi5SE,42,Pink Harvest
5ps3FwS0qGdRCvXop8q9vn,0,Universal Music Group
2kNBMexcjw526lwnYZApnQ,0,Dead Funny Records
6FAyFURduuF3mNGS9MZVIK,32,EEG Music
5yhQ5q2Nty122lRRpjUr4Y,45,BlackBandana
7K0iLOxB0mUPvIS5puSiqk,44,LOUDER Records
1vcvxiljwF8jQLXC6apIhX,48,88rising Music / EMPIRE
45B0qTXutCjDmwBWoDKNSC,27,Hlebmusic
0xdEAVGrXARx7tWKFKAx0t,25,Universal Music Taiwan
5MKxfWF62ntZKpFVshXMkl,32,disco:wax
2yujPkxc0FHe9pu7e8NBV5,27,Sony Music Entertainment
1b3ntwIlnZ5jYVBHOnExJ0,31,℗ 2020 WeLog Music
4BGDt8csxnwsW3icsQhP42,0,Ninetone Records
6mNOdgG7eSF004ud1OJZOT,27,Paidmen Music
0YJa3R6HpP2g4sJz4ldR2j,17,Mistral Music
3r46DPIQeBQbjvjjV5mXGg,85,Columbia
74UMqzkaq0vgi9V1YXhNA1,0,Nadao Music
2a54BtaWFUazYj2lQmyuEA,24,"Tinnamou Music Score Co., Ltd."
3nxlM2DFwij3JVP55yNRya,0,Universal Music Group
1mnaKshZPOXaPmqRYxipGM,58,Epic Local
1jToVugwBEzcak8gJNZG2f,75,Question Everything/RCA Records
7CHmogPaiP567dNKFk1s6f,25,Vertigo Berlin
1ruEgBah5bcIgd2CIyKGqR,45,Facem Records
09Dya3oHRQdZVAERjqWP27,40,JC El Diamante
0ytyL1t6abbFa3FDGmhruw,51,Universal Music Australia Pty. Ltd.
7EZBC886bPzwvMXMs9Y8k5,0,Rec. 118 / Parlophone France
4QnOO7SMXY9qKEe8aQQ0z5,0,JASA Music
65q2W2g3nvvVN5dGoll3sP,59,Universal Music Division Capitol Music France
2fqBcou9Ze8cr6lbOfyOHh,61,SBM Label
4jRTQ3A7iO1wKTujn0E7Ef,25,Step In Faith Records
4nTRBh25DROmPQlleiTRS9,51,WM Poland/WMI
3BOUO7WfdhslWwmxX8wZ8A,35,Abdo Sytra
4qecT0ZJrf35thz2WaEm6P,65,Indeciso
2w8eOqr0no03I4RgyaX8jj,26,Capital Music
4uV6i7Odkg83F6muILQnFO,41,Etage Noir Recordings
79OEASunsh84ybHqWKG9dn,34,Universal Music Oy
