id,ARG,AUS,AUT,BEL,BOL,BRA,BGR,CAN,CHL,COL,CZE,DNK,DOM,EGY,SLV,EST,FIN,FRA,DEU,GBR,GRC,HKG,HUN,ISL,IND,IDN,IRL,ITA,JPN,KOR,LVA,LTU,LUX,MYS,MEX,MAR,NLD,NZL,NOR,PRY,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,ZAF,ESP,SWE,CHE,TWN,THA,TUR,USA,UKR,URY,VNM
NZL,0.5903369019437148,0.8382730632998829,0.6585231640029716,0.4384472869837506,0.2932968570051404,0.5086345710347591,0.27338957041743317,0.8646895368492054,0.41733395957361696,0.3893189624233473,0.4758540920207083,0.6545080946703983,0.5048264139213305,0.24246854251878347,0.3736342675273059,0.4038995530792664,0.7033892547748917,0.4931044254933354,0.5447555826250312,0.7943863719304187,0.3786271312946655,0.3249958609106818,0.5062209332230243,0.6338588394637343,0.4315036234836397,0.32025696090282385,0.831928437209753,0.5414249892139724,0.3298037446133715,0.2009195412174433,0.3716633672137218,0.3672137093513559,0.6543704759016147,0.30510434627608274,0.3965652179088467,0.4380663293085203,0.5970670585597422,1,0.6169116220175115,0.34785730901542466,0.37030251140348414,0.361267006951576,0.4401860413924509,0.3128810911479475,0.233699116572732,0.1676024530062561,0.3191385018344549,0.29917573462272185,0.17517820878986934,0.7718039748192078,0.521232639712382,0.5769729634027869,0.672745815148594,0.3109114234093897,0.4252226241690027,0.46538855512205546,0.832353397593452,0.08974623458982134,0.42700424151402816,0.358777679509497
NOR,0.5258739505705528,0.5775917121419942,0.43443900832420634,0.4044981878972873,0.3681161860986655,0.519299620095187,0.3844325054811938,0.6696362701097295,0.511351998943354,0.3195577085431539,0.4805019176538312,0.7599220214182778,0.4467657822615979,0.34176034991712845,0.3806585812026987,0.5386335024270328,0.8524178765388457,0.5258739505705528,0.4597255151988531,0.5396137622377626,0.3692084015242214,0.37298925312420983,0.35034139282398713,0.8848130928117371,0.4632579132216,0.3948732126556857,0.5608124816878306,0.4578802200516022,0.20264728477141036,0.292388994855589,0.6062597471397352,0.548953407791211,0.6118553519197192,0.3393445188088965,0.2883012416102222,0.47753528906941833,0.7412369012798128,0.6169116220175115,1,0.413024180637188,0.43959171382532225,0.35519075581624904,0.4181098406878838,0.4327597855323868,0.33596995926603845,0.28022840898130197,0.3227100293123033,0.3434603425103917,0.06162894755244941,0.5960651027957848,0.5781549985478758,0.7506905103906334,0.4857924942691215,0.361862909582106,0.5388912634938997,0.5123749386110485,0.577873261388671,0.23441312431629524,0.489784776881888,0.4556915967796886
PRY,0.7001998002219634,0.34829498872310616,0.3558548611818608,0.3787419416677156,0.9022314791976372,0.7397708096679851,0.5464824772648684,0.4028633410502499,0.8339208885579793,0.7429887471385854,0.4692273443874706,0.2640576210826344,0.6465475045499727,0.6165393903073649,0.7576547596461591,0.3323631116788579,0.5042984845785747,0.4928699361554906,0.32605347498132753,0.2617672213091766,0.6687019206993534,0.4313363448640075,0.32496063564573474,0.45639099752242673,0.489179290530669,0.5884837373903202,0.3638782022272198,0.3888908103319136,0.33475358944184463,0.4121741065938642,0.31959265409392845,0.3323631116788579,0.490204381010807,0.5480581074686226,0.6227912048003708,0.6476255169592029,0.32078187259203583,0.34785730901542466,0.413024180637188,1,0.9062034466608744,0.5933078359938209,0.5638003713484365,0.7504998338888715,0.6177193674485091,0.4487032596938647,0.7337192095034204,0.3502681959776981,0.218429659550356,0.49701291733660624,0.6468166991780955,0.27884226404915935,0.34298969172633365,0.473545566552545,0.7998954049420978,0.7428037803979386,0.3340391155912472,0.4213059378423133,0.7895854070362739,0.517325077464565
PER,0.723899128797894,0.36608742019436313,0.40270408337067487,0.42118268469502296,0.8949623472132566,0.7602193317225321,0.6175328132450252,0.4252226241690027,0.809015246797373,0.6867032697838006,0.5363201008376597,0.27910608616735366,0.6418029634588323,0.6719475445239798,0.6962600754067775,0.4014315473521587,0.5373982485494453,0.537861081833362,0.38698722031132826,0.2881676143543713,0.72047555262103,0.4737714448113004,0.3880354047994595,0.46873478940639746,0.5285394376808044,0.6117328508442121,0.3849735279300771,0.45368580719443585,0.390215160951486,0.468197976998722,0.382966407209527,0.3995277997858861,0.5381184118372591,0.5251222837939662,0.5726111681151047,0.6931447126154526,0.3472377651194235,0.37030251140348414,0.43959171382532225,0.9062034466608744,1,0.5914993988901665,0.6267199101347314,0.8162487973638535,0.6702846784480264,0.4988125191083951,0.7265818838564359,0.3604113696047488,0.24950083189149508,0.5182126202121856,0.7067755172247043,0.2881676143543713,0.3820422425486566,0.5122286730291792,0.8229712824844921,0.7922007670615325,0.3543063445044592,0.47034849104009546,0.8249976222341486,0.539975437133869
PHL,0.537501060363461,0.405377275799656,0.3156203543834599,0.3627204958224842,0.61647738681279,0.6560255350086255,0.49904979009688166,0.4549930935686891,0.5225256670414609,0.5497448570624899,0.5117901392067489,0.2723758241913421,0.7624109750063927,0.557038860566611,0.45320725196663125,0.3526145999547532,0.4356595692824776,0.47780842564516346,0.3720797725346713,0.3785888658841108,0.4558663626866564,0.6364003857606753,0.3944804006783593,0.36578741422404015,0.7367727832762725,0.6794259239212301,0.4468087635938882,0.45836290399363233,0.35375420206497443,0.34013680149164827,0.31263889811633383,0.3223941373076592,0.4597695276208073,0.802888463146334,0.5284385797135966,0.6972794713426085,0.30022830430308545,0.361267006951576,0.35519075581624904,0.5933078359938209,0.5914993988901665,1,0.555698906088901,0.4767621763963753,0.5788883972996508,0.4298747505362625,0.7291156101348271,0.5564487818873514,0.495078435229503,0.5845159767703888,0.5413731406061086,0.2712329668373501,0.3865606956652352,0.4266723586257981,0.6637154297990739,0.6061993621607957,0.4196647148582803,0.3721933855558596,0.510476894867631,0.6592899803624008
POL,0.6852645581984109,0.4827495469344664,0.4808224118082,0.6188406101088582,0.5875026299793895,0.6966517453628553,0.6433996892534997,0.51555487009554,0.5473221308852974,0.4694065686558294,0.7277147765408309,0.2575918449084539,0.5392523712469484,0.6011596608530261,0.45761711895387713,0.505883964773624,0.5313722735723025,0.7244163335065584,0.5599470867238977,0.4202796289770063,0.7251074535074167,0.46392282913954663,0.6927575133606231,0.3927942048309374,0.6052946960528045,0.5016672270494966,0.44095110524206016,0.7356010761266111,0.5626027662205235,0.4499987030295265,0.4739974200676466,0.4844071100636289,0.6277405001235825,0.4359545831568647,0.46427778840432943,0.7295548586642155,0.3924418723712242,0.4401860413924509,0.4181098406878838,0.5638003713484365,0.6267199101347314,0.555698906088901,1,0.6593597765363662,0.679945553424008,0.5757942219461207,0.6435330725799338,0.2912809648917648,0.43292748404735026,0.5923151190616576,0.775480560964422,0.2543002617161372,0.5053068385867656,0.4521645825028678,0.5834300410243876,0.739953619097173,0.482887474260966,0.4792219133986949,0.686248227089064,0.4420580495360631
PRT,0.6613901237729682,0.3174642497209553,0.35045120355928583,0.447066721750328,0.7710757431179363,0.6767667385659114,0.6572720743150307,0.3735963071180426,0.7256269359492744,0.5321848060021883,0.5450168120132568,0.23091154504159028,0.49720204578197014,0.6834565848285334,0.5947134582771654,0.4330113519049342,0.5161933644865304,0.5705022375568249,0.3753829402173644,0.23088062877703264,0.7428037803979386,0.39585635999443136,0.39349948378825494,0.43591242887132753,0.4686900343234998,0.5155057899951249,0.3020315356885437,0.46449975742632776,0.3693592003785101,0.47867430222048,0.4459068557736886,0.44831521986458545,0.514329355539557,0.40629771399028336,0.4494801598939509,0.658662457027734,0.34324307716083746,0.3128810911479475,0.4327597855323868,0.7504998338888715,0.8162487973638535,0.4767621763963753,0.6593597765363662,1,0.7074249631666292,0.556931515081106,0.6305616599703163,0.2515312696142695,0.19042490660639977,0.4387014024110548,0.7260605905020436,0.24738108632709388,0.33268372274741653,0.4646329830143016,0.7058848706034868,0.7565778819350037,0.30424942647033115,0.5288926106059897,0.8376860307465827,0.4440218883418591
ROU,0.5154567148661051,0.25254855683993627,0.29175082650004946,0.5085377979311196,0.6948542261251567,0.6667697198168087,0.8131689537774727,0.32697141818331943,0.5785497469813902,0.427502426588787,0.6377762969753242,0.15332785633927004,0.47228243499078926,0.6341186983754872,0.4439363598263684,0.4951255295321536,0.4181098406878838,0.616849558286366,0.4248504259515984,0.2287195698078832,0.6495200171543326,0.5350909935809245,0.4324664323672509,0.3135389029667043,0.6083183755151358,0.6480981858279549,0.24602379232336613,0.5169803623813204,0.45941752857881424,0.5941857793736829,0.47156200111949453,0.49919220664841735,0.49776985844669874,0.5281361351585359,0.3993298397369205,0.6396850024353136,0.3143360458519926,0.233699116572732,0.33596995926603845,0.6177193674485091,0.6702846784480264,0.5788883972996508,0.679945553424008,0.7074249631666292,1,0.7828014848620636,0.7111876167241125,0.3758399214221422,0.4022265649066924,0.4148092923223301,0.6811364578201486,0.19528567104410555,0.34621861971370393,0.5549502937738482,0.652381126100229,0.7297307579617419,0.2592912719420739,0.7355111598091424,0.6378419469446943,0.5449645541381649
RUS,0.3850895232422211,0.172817704648365,0.2526758151098907,0.5762989953122521,0.5134488964020301,0.564018471176397,0.7947335947417616,0.2639930052188709,0.46117982331404805,0.2782490168738786,0.6389598228574442,0.09954252533142184,0.31087691808518525,0.4328855547696153,0.32334225573606223,0.535961274926445,0.35345991889947825,0.6294691200917666,0.45038793143862577,0.19386860751383497,0.5621680856324778,0.4646329830143016,0.4062576652677845,0.24052494526828017,0.5273305624596549,0.5724442953950537,0.1530470643229077,0.49919220664841735,0.4842687763250748,0.6854156916725762,0.4975805162565402,0.5505376999789704,0.48137229113798075,0.4256778606687015,0.2879672204915419,0.4609592213900927,0.3294845106224993,0.1676024530062561,0.28022840898130197,0.4487032596938647,0.4988125191083951,0.4298747505362625,0.5757942219461207,0.556931515081106,0.7828014848620636,1,0.5611374447499438,0.33884083324116776,0.3916596419357318,0.32732480680406895,0.6085612788715117,0.17440022435943026,0.3453463292920229,0.5948895039851989,0.5030528810490302,0.623548399532199,0.18641106537956895,0.8730300744525208,0.5038669602294281,0.4688690772824764
SAU,0.6244970401005006,0.34935393018896377,0.3416519887920083,0.4760355829915161,0.7771814903037272,0.7718039748192078,0.5943615960707759,0.4025846679718017,0.6643523999872316,0.659778854271577,0.5497448570624899,0.18872319214155175,0.6411397578612757,0.5641275620147927,0.6161675195786045,0.3471649162564233,0.4265894179177513,0.5685138113597898,0.3840463518176472,0.3011123270110114,0.6591504308912051,0.5032443090680554,0.41733395957361696,0.340749672078966,0.599672000562856,0.6550591187935428,0.34884250206118894,0.47210223434868925,0.4528594747026368,0.44982580101426184,0.3060631068738162,0.33311144393904923,0.5003330003699388,0.6789071353417375,0.6569253590764592,0.6571333461467568,0.29890436026003353,0.3191385018344549,0.3227100293123033,0.7337192095034204,0.7265818838564359,0.7291156101348271,0.6435330725799338,0.6305616599703163,0.7111876167241125,0.5611374447499438,1,0.4178647138809799,0.4479705245606427,0.5216798305361946,0.6424673992684227,0.2197084774352485,0.3911907860988393,0.5105740513844423,0.6929123344773518,0.7471862735274393,0.3495366805422052,0.4995246695380589,0.672020034295161,0.5488479861251208
