id,popularity,album.release_date,explicit,album.id
0ahiSksKJ202lT1TQPl9vK,38,2018-09-26,TRUE,3GYtUcWsdeuKDYZ5J0gGHh
35TKSfb5xgcWVkD3iIZ6Ik,9,2016-06-03,FALSE,1gtPc0bgW7plKzwPx8HRE7
61aml0ABBeEXl1loVjLn1H,49,2021-09-02,FALSE,70H06i38OJROeIolYuxJz3
1BDjXpmZcSkA9eE14LCj66,33,2020-12-04,FALSE,1KkAbXlO6QEbVJpGB8hhkO
3CjRJYBShk6Od4FagJHbUu,38,2017-12-15,FALSE,7BXJm5aSIzY4SDP3BlQckQ
7caqk7n1MxykH9QKOktha6,44,2019-11-29,TRUE,6ocMkTP3OBnxsREsdpCMTe
2jZQxvy1T9iWl5u4Id53tp,34,2020-08-21,FALSE,67LshWvLBdUOD4Vm3B2JRL
37hmZirFpkUcMNlkf5i60r,38,2015-03-07,FALSE,5SdHH6qhz9PElhCLt3OZTK
2V5LZRtEyOIs3C1DC1s1oE,40,2020-01-01,FALSE,1r5dugNo7QQRN65D2ewe0q
0KRhlsTXIRCjowX3YAjNJU,37,2020-02-27,TRUE,2SYoVgjmUEYmzwP42lROTx
6Kjmd8LdFeikvTEiXFlPDz,39,2020-11-10,TRUE,7jzkgC1FaR6yAHXrw9gEEe
69sL8ptg5heWIfcCZLIjH0,19,2017-09-15,FALSE,2VjK0WZGJbSFihmGli9gMg
7to68V64Cu6zk0UDo5tyw3,67,2018-03-09,FALSE,0MVMsDS0kofp6A8cbJ5kSH
7hETpLmqWiMAD5TtfrOlOe,0,2017-01-17,FALSE,0kpGcdfYd3tEvVeYpx0pOu
13CWn4eOPl51TaoFG5o5qD,45,2021-01-15,FALSE,0NW6liDoTXLIq6BiICInyM
1I9BYf0I1HShuSoKnMnWwK,0,2016-05-05,FALSE,35zZYZEJQCAW1pmt0QJzl7
7lk3Jpv2XsdAWO8RKfymL5,45,2013-11-15,FALSE,4wHAmmRm2x5MNgMYk30tIh
0f1xsopmPwjGv5lJooglnD,69,2021-03-15,FALSE,7czmWB0X3OOf9VWgHGSfDw
1mfMlthHXTmgbQd2MtF1tA,50,2020-05-21,FALSE,3D1NZYi3GsenO5uWDFrRI6
6oaXwwoCtIOSCCEHkP9YHF,0,2018-04-19,FALSE,6bXdUjhWfTAkwaNk34qFB3
61hfjYZyqIV4SH4sReL3df,0,2021-01-01,TRUE,7EkVDaKK2sAIDh4301LWYA
5hkKrz9fRlk5suRAxoV0Co,41,2019-10-23,FALSE,1RUlLyZ3fdYI186qFxKdD5
3yPaxbaW61NZ8B5CxVNzMu,0,2017-12-15,FALSE,6HW9Y7eayMLzjnwCvIWBWz
2OHVyDmZAdmXTrLOOjF7hg,15,1989-12-01,FALSE,0uw7pQVebGbGkIi2NIYqrH
2lTCcfrukFA5bQ9bpJkNNG,43,2018-06-29,FALSE,7e15Y3dQtCqbfTlLuuQUME
5GIyCpbdhQ5QC17jNUbWbn,22,1993-05-01,FALSE,3KGjxgFj40CxOYfAUzIEcg
5l9g7py8RCblcvbZgGQgSd,67,2019-05-12,FALSE,7xCcuTA3abKwxj8HwgxP7R
0m8InCkT7SSDbi8xEUvH7Z,0,2018-04-20,TRUE,6Y3aao0jMZOSQqc7LH066f
4O2XaXdnpyUPj90lNq1bIR,0,2020-01-22,TRUE,6y66tQfVkXh0NIScWb9yKX
4cet1h6g3gmjvd0kloLWp1,50,2019-05-25,FALSE,6opBn1Zxw9cmYX3RWLjyZV
6nb5HKJJhuyKgKh5qMhMEH,27,2020-12-05,FALSE,2WZknttdUJdBbVjRPGF93G
2J7SoApufasiuxoa2ogaSi,0,2019-02-06,FALSE,6tuLjEzZX4wiuipKTRjWAj
34sRrKNapmYVcmduMnWcOj,0,2018-07-03,FALSE,0efoiZIm52LiAUnf4iGgbN
0SrGp3u3FLih2g3wT6RXTf,47,2020-04-10,TRUE,6s80ue8PwTs2kndd9iClQ9
18A7ha5BitZjmdHTCwXFbU,79,2019-01-04,FALSE,1WTTu8JvpNLQShwwO8o4L9
0s3EXMb8Wk2u46Fuhk3O2e,63,2020-04-16,TRUE,279y1HPzeH4upJAAaUMWbp
0kDj5JHE7Ba3HaS5APquQV,51,2021-06-11,TRUE,4AXPVFI5DlSn9Ht4XckUEd
5WcGoxjPxy0qExiq3pktH6,32,2020-03-13,TRUE,1I48KsGbihiXPUfiYafnFl
05FcQ9izuECoJn4C9ImqA3,15,2019-10-04,FALSE,68XlT0NIerdq3OaVxLYq2o
0gEZuDPrKfZNNLKctxvjIP,0,2020-05-22,FALSE,4ZGzm0GLzYd10IPckAtrHZ
3DxAwRSH1lhTneGRoWZyYq,41,2020-02-17,FALSE,1aEaNbE4QqWGHEZqxpienF
