id,artist_id
3ocM3UaX6msYLAjD9atnEA,0wK21X7PTt89qH2aNCkXlA
7tYjXd42SzEhrWEFQeZxNm,3bsQY9pFWVzUMxlSgGQuBn
0yq4hmZV3SUzaLrvqOe00e,05Rcl45SwOsXoiMMrV0wH7
3mbCqi22KYjndD56qCykyP,5DUlefCLzVRzNWaNURTFpK
2KNcIEF7mHjChtXSPddVmu,1r4hJ1h58CWwUQe3MxPuau
70GkHdjdm4qkBPfXg9KFfl,0HDMwoCS316xhKCZlJPBnc
56x21A8dBargLe0oMLsgLU,5D9gbPVm2Y7DcPbqG0ueS9
4eXL9ici1ddorTRr5jJQvm,4iHNK0tOyZPYnBU7nGAgpQ
4HvNjL1mXnEyx7FUkL5Ej1,49PPHx2WvBFfsk6RKE0lCi
3AejLp63AF23vf4hiRzhEP,2GN0eor58XbyUUfQxWTgYn
7cIkMEpDhT7Vpw1FHOQqKC,14zUHaJZo1mnYtn6IBRaRP
5ooKH3yAuUOO0e6DsRdw7v,2uk6siR31HTp2t4V2cspwe
7EnD0lx98FL3jCDVqjyaBw,7DUTsWY3RBd64vh8UtgtYA
4fwo6czG5nvOQMzhOto1ya,7gOdHgIoIKoe4i9Tta6qdD
19u24hOHMdNfGPedV2lFum,2ZRiDEplNEZDgPBziiFEmk
5uURoteZVmKu2wxF9RDOb3,4hXT6A14n901v8DU5Of337
19pQZDp5R1jqr4Ih760tM8,29G2YTqyNXysziWEYJMh8K
6j8YT4bjQsV05fuvwfv8JI,3PMRY3PR5xAe5UpRfPPuaG
1GTyZID5IGOXOAUoQkVlWo,1H1zBr7TXFwTwsHU5kX9gW
5DeFtXwPfcBwPQZKkG6OHE,6gcteR920pLEynlHzjSRYd
0JdkDCdrhMOaeXjIZdeBXN,1aQbanZ6xPrOtTYtsMdm3Q
4ImCq9zxImWzZijKlMyppJ,3ZuBEj9ppJe8GSdKaMTfMN
4Qynrttl9LTuW8vqAFVFz4,7kyIBL1EYouLqC8vw7IOui
6pz4tdLoIDJdnpXnisSDCK,2XHTklRsNMOOQT56Zm3WS4
6W2iN7zwxJ7xOFQy7EVGX9,3tNPDodRNuLdezJnTsYOqy
6zqvYKBBbEEQbKm9rmiwb2,3ObYhqbnVWAb1afotoMJTu
7JLz24ZQtl7tIb0ePwlBfI,7IlRNXHjoOCgEAWN5qYksg
35JrLLUmwTz95YJoBW4kTp,5mNowcxxg3M2Iros4GTfXw
1zFY0QBSpUazG1lOr7QBJ3,0tmwSHipWxN12fsoLcFU3B
5vwcCirTAl6CASbNvPAlDg,2r8iLFeSTuOiZualHmSXxS
522Rx9sst8okLatzHMlOaj,6hkP84fpANIA89Nv3T9JSm
1fjT9AcN1KgqOGRam5sH2z,32E92dXwYIiCE5ORdXRVOD
6qyz1KOlGJsKYJ4ZsRmRSD,7bmYpVgQub656uNTu6qGNQ
1JoIvJTHQ90FVC2LSwxnHF,3EiLUeyEcA6fbRPSHkG5kb
3AuBvhpKxvDynlPFwbaqJF,7FNnA9vBm6EKceENgCGRMb
32vthlVhO3eILhhRfBdZUw,7xNYY1Zkb1vks5m9ATlJok
7gLg6tiKRcX9nubEGuBOoq,05H8WnuJP9pO3p7VSV0cZh
3wsnS93FS9RTgsnDx7qfBD,0PVPI2jOWDJtWpOxrXnT6F
411I4gltX9TIbnsBlmOf7H,0SuC1Z51R9kleDO1pj3Gub
0vJnAIhLnRrXgtN0SmrrTy,2y8Jo9CKhJvtfeKOsYzRdT
6r1dkC7q1PiAB21e6RKwSo,7vWp4MLdsECG1Dmu5NDLRS
03XZXHIhm24O6UUh9JODYc,5ILMkt5lW4KAyTXMNYWaGF
3CPDOmAHjH5MtV6czwPUzu,37LcCVDUnT7m9hKwC32fkz
6P6rudfmKr7FyArdyEs0Mk,3jO7X5KupvwmWTHGtHgcgo
1w8bpps9WEVfwity4uSt9K,45XBPUL8jsl9sXvf44F9Ja
1QE5ZA4YsqWdIAK7DGGMT2,4WnAHZz1pgl8hus8hidIRV
2rdhUpoxh6yHeV9Q5V7Kwa,62lbdm09j0QUbWB7SqCJvt
3UVRi8xiuMb0MtFIbemaAn,54CMkgIraCOO9pSRfPKiKt
5SKJqKLR4Eaq04fiHxbABd,4NUePmzDvCYqilXBFa91Hg
6fqaMyg066xlukvUJWdM2T,3Nrfpe0tUJi4K4DXYWgMUX
2sR6zLRTDipFbWb51q752h,0Rpjb3kpeX8Z4DQZ7A0wjq
47ZN7AlZUV369ePacBnW6w,50P3cSCiJR43BiWT3qUU0j
56x9iQJrp886WoTajkX2uw,0WxSlQlue0fq99fXfGBmxA
1meW3fs5CJdK7MNv4Shl1D,2gzWmhOZhDN6gXL49JW9qj
6vMTckYma2XliqlxrNi7aR,1g1yxsNVPhMUl9GrMjEb2o
13z3Yj8vW5OivUKItAIU4W,1JZpCeGFkcB3EJi3Dejxlp
5zWDzFyrpRpLsXPnZS9itt,02OR1V0L1ODy7dDlBLTOvx
5kISyPrTRogIEpAWGehBbm,7bpDJUH5hnffIYHID6h3Et
4Rif4wqdvzy84dhP1apC4Y,3ZuBEj9ppJe8GSdKaMTfMN
21by4HhbV3w4uUNrotR02z,4aeIWo5CMF1uRmqgJdwkZW
4Pzi0povbtMOuVyGKGNOKu,5jewGMrZtMNJk5OsZ61Cpo
5fKixfCQ9jv0dkPsKXUFzD,7ygNQCdpQWW7iSWAxDhvhI
2CDOq6UtjPpVa4UWh5OFba,3xUqeSgtn2cUtOf9MZrhud
7xfGrGqvFAeeQ6giNSXaAA,3YrXRilGum4axHRdk7Grpt
1euq6jGVbZjIZixCTSug15,2Im8m4STDBosjfmb5hmP80
3lrXWJehkpYJSQUeI46zcD,2t6NEGChLyMUnGnW1LupcS
1CtKHwDqsH3ctcCCI18N0g,1cHFz6lrt7KAsBV8j2Ny1g
7IfMueN16euoLMqLmiXkq3,697ZbUKLJSEWWhtayAGxBY
19oVgnTelqQiilMMdo0uPR,0GVW2S0kS9yOIEo93ZCNLW
2Kt0eeJtQIZJeK9nZnvmC8,7bW8KSa6v5oBJAjSO2xsmf
2iMGz4R3BUhzMEKhm56Q26,4WoSAKuoaPxrbwp3Y1PvKb
4igzqj5TrceDGrJcZYM0pl,5XJDexmWFLWOkjOEjOVX3e
0pDCD608bgyJwVp5kjbiod,7dC9YWGDFx7AzFyZkLhSo7
2f4vdaOFLc870TX7NK6o7e,38iqZSGa2pvToKrMISU8g1
7xCe2DkTYlkfwhhGAU6FbO,1LGh5vyaoQP9bgTwLSMTyW
6LDIVpVNBRy7LCw7jIdci6,7n2Ycct7Beij7Dj7meI4X0
32107DdzIGbVs9Pi54MuRS,41MozSoPIsD1dJM0CLPjZF
0kl0GEa8WfkY65OBzlqHDL,2Z9KL8Zmqx5Sg3cd7Fldhl
3LhzpgimYSZhTx5KuchwVX,3b8QkneNDz4JHKKKlLgYZg
6gfQqYABil3KTVacjA6VoE,2X4ZD8NDhk3HxITzBHE0oP
1AjebVX4K3KLY8Shz2gQ5A,5Sjj30aHCmKcM9SdVX7PBK
7aESh0sw6yPw7yTNgC4gwi,77IW5ZK1smDQYYKDCQugXh
2fwWrSuYXUBboKiq96Yv2G,5D9gbPVm2Y7DcPbqG0ueS9
2sw9r0DEwO1Nqg6eBtsCcc,2jku7tDXc6XoB6MO2hFuqg
53NXe3kkRKLOHetbquwSxt,1dIzfeZM7R7E6Wl9MedD9v
4bTZeO72FwMa6wKOiqoynL,1i8SpTcr7yvPOmcqrbnVXY
6VuUMo1TusnqBxLTnr3hOI,4ClsVDy2g7RKSSlvq8cF6d
5LUlgNIfvL06AbnnLTriir,52OzOVn0br6av6uBcn0yJ9
4L58FgCh0T0WNG0UIqxK4E,6wWVKhxIU2cEi0K81v7HvP
6O7Ys92jcT5w3FcbPV829o,0TMvoNR0AIJV138mHY6jdE
0NABUV6VnosMoXqFo1AiqU,4Dm1MX4VPbtLssAQeBhHFo
0oFlUUf7zFcTkFJVkxgqh9,60pVmLS5zlt31OWk340O3U
5kcCuvF6sPO7WzzQMJ09bc,3qYiG2OKLj2WAKQVdIbigB
3qmnmZFcStibGTolUEM8p0,5Jr4z5VLHYacMaWsqR2nlw
0CFUEUHOduvo1660LEDRry,2XDkxNo6VMwJcCpH9sv5da
0GEeVI8Wa1KXGTStgBUerG,6QQCeD7ZErV1xQnlyjaFHF
4GnD2JDRdgfRb3DvemIjdD,3fiRJ5MzLknGR1fF5sqJrV
7G38Rg6rU3NVhpdQteyQOA,0W0oW3iaBwbtcXqdDrfC6F
0Jf4hAJPvUoPFdDcpoBkqX,0AK0qOs8ykb6CsaYks1xwK
49rtHPYe4eny7j1sbDrm8j,6vTqEFbTtTRJsuIpzZgjxi
3HvuAK4ilyJSXZvmSYtnMG,2r8iLFeSTuOiZualHmSXxS
6wtgR5ZVbOZPHIeMNQwugp,7nqOGRxlXj7N2JYbgNEjYH
3W4JFzOQdo5J2Wgt9DFg24,4xRYI6VqpkE3UwrDrAZL8L
2TznqL40ViRp3ml3IRmusl,5abSRg0xN1NV3gLbuvX24M
0YU17F0BlVXvmx5ytsR43w,5ENS85nZShljwNgg4wFD7D
4ktOdjVzWpwdTpyjw3r5Of,4D2d63igYEdzhzFnxrSow7
6rwCkGBh7CV6pcdxZKbcsG,64FJnCf92hiDZ9y7AbW41N
1sn0pMXHGyQ63jzFXHLOiF,793QToVJnVh8Op8YSqJsSm
75tbUoVyOAk7CminYO9hlT,0aGcpRaQde2itRKZUnu1Z2
0iqichhGnbEy9w6p4sytpW,6h1s4i4XKIYv4ErDelLDN0
0dOg1ySSI7NkpAe89Zo0b9,3eqjTLE0HfPfh78zjh6TqT
7DAQL4dj7J2UAGoCn1pyDk,60kd97YittR2LFu7YLW1Ap
57QzbfOEa5kd09TMWGOWXQ,0Es1TBdBiQPIdwQWLJelte
4AjWbAwRpxk2worpjNH5CS,2LRoIwlKmHjgvigdNGBHNo
6dtDLdy1WxloGl4MseK2Qc,51MxI9mWmRMPLK9eNlyQ7o
5Sju9m1lZt4EcogzQ4Ru9e,5GIcOzVFTNnzArytjmTkW8
704iA6CyFdeP24JvGFxsRs,3uFum0NCM1PtmCO0MwsOAt
1DcaveBkLsJCehY22YY9sY,56Qz2XwGj7FxnNKrfkWjnb
7zEz7q43xjzbRSUar4yH3m,6cK3NBO6uP7hh0oyuVELFl
4NpCP4YhNlThzn8QFyCceH,1qQLhymHXFPtP5U8KNKsm6
625SfHM2FVyyUj3cT8108G,61ipISvUVa5LkJlKZnm3Oo
1yctXkCy9oKQkJRol7p1V5,0LvzywQsf3X6Gt6aGAdlDq
07jOogwG0xr8UjtsxqdhPH,2MtHuR0W2idZdF7x4wddqq
2FrnTVSHjgnEylKGdHRUK1,1WoYfDQf78hGBPBn9vA4zQ
7floiFCj9h0CSJ8vV0e0si,16GyR4WfCnIT2XST4ZLl2B
77heifHtFRJgA53I7G3D5T,0te8dahx5iQeSlOYj5n8t9
4ksuI04WMvUnJbHQjgs3L5,3TVXtAsR1Inumwj472S9r4
3i3ci6hFQoLatWP5MlpO8z,63Q8xmyZacJnzmK7NzVgny
2cVLzFaLGjhBjDhR4QaTiH,49PPHx2WvBFfsk6RKE0lCi
5008Rz0J8beglZBqnvSUCn,1UdbiTrv73Dp7F0s3OHmn2
4cFV9iYtg8EURdZ5EFRe34,7BqRcZsHYYQeqMAOp7e532
6ccwgif7Thhc7lpHkWWhOg,0VVADtpLSH51b8aKlLtW2B
1dePmx9UxOVUsA4iSLCmIL,1bqxdqvUtPWZri43cKHac8
2NjMIALA5cuo7BpJ2kak44,6B9YF4eOv99klogeZUzkYM
6x6Mw6RspqUs35uj2qBhQ5,7FGPqGAnNztJ6mQniyFLt9
2OeQjU4TYXeFI6NIBcSwmS,3AK5bCDWwrpsweYJq3mjNs
0SWQidsiz7sHDt4kQV0bI5,1El4YQA8oCXX7ynFSxRTFq
72YrAZb1D0YBGjnJbXsjsJ,3Vnl7pKDxagUgRJ3NMtEcE
5fMQc6FZhqvt0gtR7l7jiy,6AX3tB4bcTvWYY3paxxd0I
1NhjYYcYTRywc0di98xHxf,1Xyo4u8uXC1ZmMpatF05PJ
1GuuqIIyMwFNKfvqUGl2Xe,3vvLuXEEf7sl3izJcw0GIn
5DyuG6Bg2I1qdOgZ8PNHfJ,4uvOZHqwKYuWz1ywTBN5En
0WXU7I74NEN1DMLIT406Wx,23TFHmajVfBtlRx5MXqgoz
3obgSF06ki98lYNLNq5vCB,4O15NlyKLIASxsJ0PrXPfz
0qnDy4ZQeBmGrBtvIMzdbS,0IxgA9wO4Op3CSnPlhfwV1
2swnHKlhDyi54C6lWQEpjo,504cl42JQLRqlZddfZ3S4z
3wojPDIdheM2BJUgzwlEpl,74T1WwwA8A9fXkT3jhk49D
5G8C27zpJ2EuWjtpG2R3Mq,0jFY3q6zqa6wgnxQMZJqvF
2VEt42QSQxILgEf9B50xxm,0Awqm7GXGiBp8fJNGvywra
4TWqowsLEFT4vChFQS7yGM,4FIghDtJ5X4jDDlhWMLuEd
