region,id,top_position
Norway,6SAKXCj5jyF6IgPCPbZ5ra,43
Global,1BYZxKSf0aTxp8ZFoeyM3d,131
Portugal,1wsnCfewxZlCs7cJxkaMZM,73
Poland,5pI3P6px16ml5Sd5hPNiUV,97
Netherlands,6pVW5LRWgeLaHudxauOTJU,22
Bulgaria,0zLCBJZSiELJf02ucPP9wb,13
Dominican Republic,7BoobGhD4x5K96Me0hqC8Q,101
Switzerland,3AVC5l5wCEALuj4tg02uIL,33
Slovakia,6WBTeFDEfAJbaSUUc1V1xQ,36
Israel,0EwS8XJQspgrj1zSUXhFkl,166
Belgium,2wQjy7eamu1hIS6kvigogB,30
Hungary,5OdoKFV4DqciztFZG8WEcm,12
Sweden,1GtVGc1UYin3zpMUdNSSpM,87
Dominican Republic,4n4BflhWjCHIxrI4v7Xt9s,178
Netherlands,7IZcnXv6Vg5NjD0AHhiEvI,64
Netherlands,3cysp2UU6xmV61ZlnQsa8s,151
Switzerland,6tr2orFqhbtreN3eehaBjc,99
Germany,3t9N47rwefuS52lSN8wAKy,78
Brazil,1mWdTewIgB3gtBM3TOSFhB,59
Switzerland,0fg8CqpjdojMyXLNzM2PaJ,11
Malaysia,1R6VwZ8TuHRzxZUxe88n4I,144
Dominican Republic,6uhIGxGej4aoWRDfrfsTXE,188
Canada,01iuzK2ziYAVE2n9aSXbWp,4
Switzerland,262fMWt54CWPi06d3XFhIb,58
Germany,2r4JRwcbIeuAzWjH4YXlLs,56
Iceland,1EnWTwagv0XR5OJ51WMdzj,72
Greece,4GBkffrtA51p17JH35irGA,103
Norway,5YRcIZnrTmdXgZJwmT0LJS,118
New Zealand,5zv8uI8Oz6ZMx6DjB4lDgJ,30
Ireland,4Ow5x7P5NAAR1jPoskudoA,187
Dominican Republic,5qFeMRz4TvetPmzjre9Dq7,7
Portugal,5SehvGGC53A7SZKCLXQcyt,105
United Kingdom,0aomXcBMXTdkDniU2vf0U4,126
Guatemala,3hBXvHLlTHvnbwrPbeoyAj,46
Czech Republic,2mvabkN1i2gLnGAPUVdwek,61
Finland,3VsTpdea6RXkvbwLBjiCB9,2
Belgium,5zxZ7M4RgWZUHlMEwac8vt,21
Philippines,5iVMvLDFM5UBqq2h1ouHoe,99
Slovakia,3EBBU5TnlF69ZDc21f0592,1
Morocco,6bzxAa3VCiIGzhjsxbHo5q,36
Austria,77fvnWALKJR0ws1VUx09CY,146
Thailand,4QnC1bIaMSfDQvF4XDhV5M,103
Canada,0R8ShcBTOvXjKCsp0Mu0Hx,48
Ecuador,5nCtCCB5i1OfbADvynNw0i,52
Norway,5wIeuNURiubue1VTcglU57,103
Brazil,5HEy04gdz9lKxa5wKUVixP,164
Bolivia,2fOjendzUzepHwR9QrVyYF,32
Hungary,6gi6y1xwmVszDWkUqab1qw,12
Chile,6vyMqPqo6JP6wYYk6VWmDG,200
Turkey,1CHT4kBIVVCzUtDb46GtoA,183
Austria,13ocGRA0tLxbMTZoPYklPn,115
Taiwan,4iyH6JZBZjk3htdJdZ6r51,48
Ireland,4R9ATNRRl1uth17i5qDCc0,147
India,7JzxfyTnhw4dCb35O3ojgn,40
United States,3qcse1HvDQ1vGQo6Egtkom,196
Philippines,5cuRYDNIcSu5noyXQpULKg,82
Denmark,5rF6YUIlgiat22OT1lWspJ,171
Dominican Republic,3eQHCZhOXLgM1pWz2HbWlm,142
Turkey,4UG7ROviFSF8nw6Mjva8h6,153
Iceland,2QJhvkLCoBEHjgxdVlZDng,76
Canada,5YqltLsjdqFtvqE7Nrysvs,20
Taiwan,50wetCP0Nsx5sIaFHCYlCe,55
Global,5U4laaEEChW8FOtZXCu8C7,82
"Korea, Republic of",0Kk0pgIE1YUImnnybYA825,182
Dominican Republic,1E5Xu8dur0fAjSP1VpVhAZ,58
Slovakia,5FYvEl2ThSP9THRBuB1qRB,129
Iceland,2yUbCEiaolfSMluDo9RMmG,61
Italy,0rDQTy0qtyYjrLiuZpHkSB,19
"Korea, Republic of",5ynGR62BCNQZx7EUoqSTac,191
Italy,35lxmFFvcSrhSrT4zAoVNe,9
Hungary,3bWAqKDWg6u1davspr5IkS,4
Ukraine,76xW6sHoZsrdLVl5W0ti2c,66
Spain,1Ov37jtRQ2YNAe8HzfczkL,177
Taiwan,7CneiDesUKFJO3Ix01dnfr,70
Taiwan,7aSvPfoqiM0zwPqupLGaHd,111
United Kingdom,1D2L6MefbXon28PzIk9I3r,27
Estonia,6Pgmqg15yVexuOgtzuxwoX,57
Estonia,5siM4eG36axvG3alLNnsAx,50
Germany,369SOcTvxnm9DWYIzoNzal,65
Denmark,1un8VQdm76q7UsLtIGvR2B,12
Belgium,0EdgK7ASb4kfRkW8pVMN02,195
New Zealand,7DcvwMAiqKJQD1rrdfxSDx,7
Slovakia,1rbeqdoEYuCRVlzkqgmVH4,110
Taiwan,6W6GpWzBiu58bRg1TMTqBT,119
Poland,2dslABSo7QXR7Vw11GKVJi,168
Spain,0nsVV5fBpNAcrVB7Ki8DGd,162
Viet Nam,5rUstxHdiixMTQD8tkv082,176
Singapore,1WzOonguDKuWQrTTf5yR0D,141
Paraguay,3QorC3YeHA1zuGHwGCmBja,52
Paraguay,5jW3rF4URMdK7tO2xjS5EI,3
Canada,1FgmP7AOTcn7MGYmImj0kn,165
Hungary,2EGJB8bDbbxtvSgJQLwqK7,75
Finland,7ElfaDjFKXAlfscXU4rRXK,118
Finland,4kloZeUMhzOQu5F5bBJVHS,1
Honduras,5fSDXbY8o9pA3TKwAbfwML,111
Global,7mW8ar9hy7GSeH4lohyOKs,195
United States,1FBi1YWCAxlRmfuUbMINqO,56
Russian Federation,6T7NPX0BWpaapcp0Jn7OK9,91
Sweden,6RA3zf6iALH5723ZnPC9AL,64
Canada,133V82vMO7TB1WYehNUMwW,133
Italy,0xG0SHshCStMEyNbNC5d4k,174
Japan,4Vm9XIi9AD1oK39xACmqk5,116
Czech Republic,71qB68guEJjbvtjlkZ8DF5,102
Germany,3td7vHxbSVHV7yb5VuWQEu,176
Finland,7wC5eZcFS1Q1BsQ35DU6H4,35
Ireland,79meQHFglEqxQ3YRAO1QrW,158
South Africa,0T6RSXxFhW8dRTWHI604ld,19
Switzerland,69bp2EbF7Q2rqc5N3ylezZ,69
Austria,2Pvr8rYuh5J8V7QglJhH6W,62
Paraguay,3CeCwYWvdfXbZLXFhBrbnf,78
Latvia,0lLaHrwW4am60pB79U0P8I,70
Switzerland,27a1mYSG5tYg7dmEjWBcmL,32
Hong Kong,6XooQfnPR12byHSGytp8Hs,96
Estonia,3VT8hOC5vuDXBsHrR53WFh,1
Poland,2zYzyRzz6pRmhPzyfMEC8s,52
Panama,0KKkJNfGyhkQ5aFogxQAPU,15
Germany,6b2RcmUt1g9N9mQ3CbjX2Y,41
France,3jUarNkmTi1ktPCzFC8tmx,15
Portugal,2q6tgiA9tpb6DMguABwCWE,122
Iceland,1Xi3XkDHp9dTeBpaxFVicJ,90
El Salvador,4q8PHoRsPUB52LFylX8Ulz,73
United Kingdom,36iuMFO2YgRCIvmTOWcs4J,135
United States,0JoauGkPBGhYEHixggeYO4,133
Germany,5G6jv4s0Eg1sFFwBLMEbvg,197
Uruguay,5pXy29xzxR3aTB0SYRI590,28
Canada,6DCZcSspjsKoFjzjrWoCdn,12
Romania,0bI7K9Becu2dtXK1Q3cZNB,67
"Korea, Republic of",5i6gHFXg4aLK5xvc2jJJC5,183
Canada,3WlbeuhfRSqU7ylK2Ui5U7,7
Russian Federation,37XdapQSdqJwHdeewjrAui,5
Nicaragua,6stYbAJgTszHAHZMPxWWCY,12
Belgium,0IuE6FnXPCdZ8NLuuvJRhb,162
United Kingdom,7bUcBztfGqO7cSI2gMZeCI,85
Iceland,6u7jPi22kF8CTQ3rb9DHE7,2
