region,id,top_position
United States,2rE9TX3VQ0WNt7kziFhKep,88
Indonesia,2FRnf9qhLbvw8fu4IBXx78,60
Israel,2B2tINzI2NSCEixQWlQBIK,12
Denmark,2EmEXCi8ue7p5Xqmqz10kW,194
Spain,3Q1x5tW5DaAFV9siLpeY6J,57
Thailand,5goGDc74vVREyN8al8CkPh,185
Turkey,6fxVffaTuwjgEk5h9QyRjy,51
Taiwan,1AToLLvWghQgiBFef1iGuR,52
Japan,4qlvMjIR5vZFi4EgOpMNHA,154
Canada,3tdjTdCCgKtwacsICCtPZZ,189
Egypt,5Jw6v4eB8lTWchOsgHjeBK,27
Colombia,3I52e5l6ag02nA7UllFdM2,191
Denmark,03eJ2DclFWXYU8GWgANdmZ,154
Hong Kong,2VQtetpPdKeCX6YJK31tCd,62
Finland,07s9NNOT0sZQp7TyolLLgu,34
Japan,209gZgcfLq2aUuu51vOWBl,118
South Africa,6f5ExP43esnvdKPddwKXJH,49
Poland,5U6H5jfWZn9ZZ2lcGKEQLD,32
Philippines,2JoIjuzRplpYGvvLpSW2on,165
Ecuador,1nobDMo2NzOyNXgCeyD8f7,189
Paraguay,3pAwh9JxSJxWyUy3BUBPb4,16
Global,5ZX1X9Rl4zbx1Wwyn3idVD,96
Turkey,7u9yBMKGQOdn2mSL2VuEJS,137
Netherlands,0Qh38w01QRXK6KHIv0e3hb,8
Singapore,0lYBSQXN6rCTvUZvg9S0lU,181
Panama,43PGPuHIlVOc04jrZVh9L6,123
Ireland,0kHyKhJMukHEPfeh8s7rdM,26
Norway,1mmAqhLcvPrknbslMiDlyU,138
Israel,48WidxP9CqyYtk97pwGZ3c,188
Belgium,0RGUIOZtmOXTWOy5EjvQbP,129
Australia,01z2fBGB8Hl3Jd3zXe4IXR,89
Germany,0REDzm2SVAxm1El3Xgn0IL,109
Guatemala,5y7DaS3jAc9eZzcSOoUIwU,16
Taiwan,7lVoniii4QwhNjCeHij2xZ,142
Italy,6dNtIe63iTj60GXprm8H4j,9
Poland,0ZBC6Eg6DjZRhgUmFdtzGH,196
Hungary,5OaRqgnamUsa99HzxSTdDv,129
Global,1vuUbnY82fCNjfzqjLmblw,131
Russian Federation,3ercF93TVBMx618mNftAsA,197
Sweden,0w3bijepJKY8WZIlV28z0s,193
Canada,0RxSL5kjZXO45l38vVerNO,163
"Korea, Republic of",4c1WgUnHXq2LEncGHKgj1I,138
Sweden,4PkIDTPGedm0enzdvilLNd,25
Portugal,1DnpjwTbSwV2V6O4PABMjW,52
Ecuador,4iFSDLdPrWIaYo2VQeCv4f,185
Czech Republic,2oNYsdCasRRlz1shXFAz7D,117
Honduras,51Fjme0JiitpyXKuyQiCDo,26
Belgium,75JFxkI2RXiU7L9VXzMkle,56
Guatemala,5KgdtjmglXPjJNKvMvSjgo,71
Turkey,5Y7x0VU1VOwPWr6MsHbcxS,27
Chile,66gNNRsKkmECPQUrvpMQtS,40
Greece,5Ki10zcEXFZj7xYxlwH962,8
Italy,63XvncX4VmdhRSAh0CX7YR,23
United States,3bfuN2UbSYYqCLG3cdweGf,117
Sweden,6zDJo66uIkQrs8PBXFd8Mi,61
Honduras,5UVa8Qqb9L1dVxl3jKQ5J1,25
New Zealand,0u2P5u6lvoDfwTYjAADbn4,3
Slovakia,2rWABPtK7iml01AKrFu6xO,35
Germany,5YuctZBtiBse6IaWao7SbZ,144
Denmark,0Zu3sBwlSenszPHrHm0wnp,6
Poland,27rdGxbavYJeBphck5MZAF,3
Luxembourg,2SAqBLGA283SUiwJ3xOUVI,8
Iceland,2VYb3Fb5iK5Y8HGZ8oEEkp,9
Czech Republic,6O6M7pJLABmfBRoGZMu76Y,109
Turkey,0mK3emUsLSTIlkHNuUKKOb,148
Turkey,2r4JRwcbIeuAzWjH4YXlLs,131
Malaysia,7kplN6Wa4RTBCQOrtpEpSO,158
Austria,3qyeNnFY67zX6VmmIbzPsL,164
Sweden,7aV2mflaASUmGhCErm7kBO,71
Chile,7FhopXtl9z9YtD9NwUf9ss,75
Nicaragua,3mo4NWHcCyPPEw0dff2V3G,39
Colombia,2fM9D3e5pyVBzqOBgMC8ap,174
Netherlands,6HlE9t71z9DjGi7KqSyEpA,137
Singapore,4HEOgBHRCExyYVeTyrXsnL,61
United Kingdom,4KacUpvbA3Mfo05gttTjhN,194
Colombia,7BKLCZ1jbUBVqRi2FVlTVw,7
Germany,25mGR1aI3WjVGX1RpK22aH,79
Indonesia,3QH8rQGNFX8VLbCgZ7uPTS,4
Belgium,7hDVYcQq6MxkdJGweuCtl9,104
Honduras,4o7sjNZ3EtL7b8CDalIAlo,102
Brazil,7gOXbWBFv9uslWaZ0SQ6EM,161
Viet Nam,0AIWtHPm3sH6YDzsTPXPPl,167
Latvia,1D3z6HTiQsNmZxjl7F7eoG,4
Norway,4UgoXTsKI19EdofRMiqhp0,144
Portugal,4HYNtH7n3TrbbtRa94sA0K,123
Iceland,1rIKgCH4H52lrvDcz50hS8,23
Malaysia,2ludbmtPoyCPe2K08fAlFl,177
India,4Tkb7zsDmsawB7S5TpKQV1,176
Latvia,5WHTFyqSii0lmT9R21abT8,14
Mexico,22vgEDb5hykfaTwLuskFGD,44
Netherlands,4wjRINd7CESe4os3XlDbYN,71
Global,2Rd4eJ4KwXQQn2sMSToyUM,8
Netherlands,4dyrqiXUcK29hzrL2elqO3,71
Dominican Republic,47TyfLrGhYHHyyQWk64d0M,85
Uruguay,1nocRtwyNPVtGcIJqfgdzZ,1
Mexico,5fqE4mcMADOX0qTuIlpLZL,156
Czech Republic,5gxETSZwYHAaVBJ0Ae8fif,61
Indonesia,5rW7qTn83sCKtqBoneJs63,26
Netherlands,4gpIYaycFCdixCMUO8hoNK,21
Costa Rica,0X8DcetL926BYiPJYstJTc,70
France,6ls3fPxbM13Gku4K8w67um,103
Portugal,4yfYJZp2C2UMWlEjVRkl19,199
Iceland,3yQbBL8hsYtUhXSrmbKq8X,194
Czech Republic,3AlpkljBS1AU7HFVPms8K6,35
Latvia,1JdWRS3PBZlSgKcPKcULtr,85
Portugal,1ehlWGPn7xUhuwCLNXDDvE,183
Hong Kong,5VoWWfPKokTUBfPXC8SZIm,128
India,4P6IttK2PRBjyr3fm0pP7t,35
Slovakia,7EQpvVujgytLVY8vKiDHAg,6
Japan,3PIDciSFdrQxSQSihim3hN,55
Netherlands,6EpRaXYhGOB3fj4V2uDkMJ,18
Germany,6rK8aUHzuEyZ9KXDNbMhi1,52
Austria,7z6xtMJ5nMoLEbj2e5VRBD,157
Ukraine,6jfyE4yAr6kc2Vthham31E,104
Portugal,66VenHDtrQAw7FCjyF2J56,96
Finland,7AsZBYnkr557jqhm57PbpJ,81
New Zealand,73YUReisjb3A9ActdLLjJQ,42
Poland,5xYVqJ7ppf4bTbbztvVOYx,126
South Africa,6igOR5QCn09zAVF2ikZjsV,75
Belgium,3PIDciSFdrQxSQSihim3hN,22
Spain,1497dTWIvmIMNYO81aV846,184
Finland,4WrS6vezaPwOafKJmHqMEU,35
Malaysia,7aV2mflaASUmGhCErm7kBO,58
Colombia,71bBFbfn2OBK5QwUJSLS44,175
Finland,53puyd2W8tJ626KKyE2tkB,6
Argentina,6EWWkqE4aFlZRyoFwwOT8u,16
Poland,5xi2SXmF3A5AIsuGXiUIZu,91
Czech Republic,0v36cov6Z6aEV5ZgIlqZMk,139
Hungary,4ggbSF8UUSSO0wM5SockJ2,95
Indonesia,1ZPVEo8RfmrEz8YAD5n6rW,2
Philippines,7tQ2P3dP76bj1aSEfe8StO,118
Global,7ycWLEP1GsNjVvcjawXz3z,14
Austria,2mYDDUkBcgFNBqkWctyyuc,163
Chile,5cBKhNt5d0f6KxJxziKr1N,61
Hungary,0ked784BOZ1JtRVHux98jE,173
Uruguay,6f3Slt0GbA2bPZlz0aIFXN,105
Finland,5eqK0tbzUPo2SoeZsov04s,83
Netherlands,4n95vv8aHIvkLPIElA19C9,5
Colombia,0HC6S4VpCGAZvyxTdrMRIQ,41
Czech Republic,6EpRaXYhGOB3fj4V2uDkMJ,7
United Arab Emirates,1sbEeUY8KsdvgiQi26JBFz,56
Germany,0ekFioHmdtwcITYOYXavl6,113
India,6bBPMpcWL9JY1kafIg0KcE,181
Malaysia,2zrhoHlFKxFTRF5aMyxMoQ,20
Ireland,6ZuahEctZD6w75peme58hm,52
Czech Republic,6RUpJeXT6U4SPEafnr9Wr7,64
Romania,1349a1cfv3J1bb0qGch29z,48
Australia,0BSd5u6lQJWDoNVMuBYBiA,155
Bulgaria,4JB0EAT4BkLShTyTt50FmO,43
Taiwan,7rvl8lvHrwG143oKtVtM4R,200
Brazil,2CnjdM7i26Y1kvN3lyuDOl,101
Costa Rica,1AkaZrwM7bBVjAn2RzPY8A,1
Brazil,6ZR7rT7vfwtY0EqyLeyAaO,9
Netherlands,2QZ7WLBE8h2y1Y5Fb8RYbH,114
Australia,09ts3GnICqYEU5PkQCpJK3,52
Dominican Republic,3EfqlNLh9HHLh8YkmezU5h,152
Ireland,11cDEev79fPKi6uJCjUhu8,22
Saudi Arabia,5f5tMrP3ZZbNtiLIHKOQLS,67
France,4dSdHPpRWtyYucF1mn0gLF,123
Global,50wkDxcIfamIajKwmgp0iB,161
Ireland,5iY4ME9owPdS6R99Kcz5Gr,183
Switzerland,5GO0ZraYzDtjpRzqMfsfLy,122
Belgium,4VrWlk8IQxevMvERoX08iC,136
Singapore,5JqZ3oqF00jkT81foAFvqg,26
Estonia,0irG7UHJP2APS0hul5MCat,26
United States,7HdZY9UJTylIiNcSDFyUDc,89
Turkey,07x3mvXVKV2b2tD6wtaOAz,60
Turkey,5w3TpIwV63n2NJqlfet4pQ,133
El Salvador,0ECs7wpW9157Tk5yBUGbE0,134
Guatemala,32lexhcz93AinKK0qLTZaZ,27
Ecuador,1LhMopPAallLeaeNutqbgS,181
Germany,7MafXbD0FLp8p2ApIbVpCa,63
Denmark,1O01cSag3DaCGneWQgPBL4,184
Belgium,36TO60sxDduIsO3xH8IcUh,73
Switzerland,4LdDpouqG1nQBFJqTEw1he,104
Belgium,0kNTwGpGylufQDeCnTdiGS,108
Ireland,550erGcdD9n6PnwxrvYqZT,35
Malaysia,3kGfazcbVvVkuZunzlLgTD,89
Belgium,62aQtiYtH45jn0VJEnQjGQ,153
United States,2WUVQQAsWvScEdBVilRYaR,120
United Kingdom,60BGYIyhys7MCxLAKyfrEN,188
Germany,1gNYgcUv09qq8sXcCiRmFj,158
Global,2m2ZGfJcs3lHWNPzhWH3XH,154
South Africa,6QZq8bxDVyQJh8xVvZVzjG,30
Thailand,6EbduYTr62sSzvl36wWiFM,175
Turkey,2vgUijXOTRMnWXDtvgMp2b,85
Colombia,3NeiYiBn3rQBgurfVk92Zm,143
Peru,4q8PHoRsPUB52LFylX8Ulz,144
United States,1K3LRUEcUz5FMtPYyg0F45,180
India,3c8SjGyaf03Czq1eaa8xNs,157
Honduras,0RbW8kWozrVSIGb4V13o0o,45
Finland,6mlp6sa7oHv61cErFlYJZC,1
Singapore,6fDQD1yA9xRblS6bHWdxjk,162
Global,6b2RcmUt1g9N9mQ3CbjX2Y,7
Dominican Republic,7dt6x5M1jzdTEt8oCbisTK,53
Sweden,4nPj0CUR45ADUNXj6UiZyS,106
Uruguay,2wUgG5Fr9PQcIbKRfVJ76C,72
New Zealand,7vJS1DPc3FzBtqBs8n3mW5,58
Ecuador,54MeG5FCVXStJTyNvRu9zN,168
Slovakia,1aC3u71MozKae9ZmV8Fe9y,80
Ireland,6EkWkW6fbaky8N5BVCGFFB,191
South Africa,68vgtRHr7iZHpzGpon6Jlo,163
Costa Rica,7FnHUsFRTMg8VYteFKj3xL,120
Poland,1gnwGVoG7V08vMX3hyr90x,120
Germany,3F0aR6CUkCAEGOAl43v3NM,171
Hungary,0jWYIVQ6q5ixWpdUYpcEeh,115
Bulgaria,1sCxVKWImDZSZKvG0U9B23,1
Singapore,6KJqZcs9XDgVck7Lg9QOTC,13
Honduras,2dYJKHEqAUTCk2U9zntaS1,52
France,6ejYU26VDtMzfaYYgptmr8,60
Ireland,3XXGqZX50zbGqSOup74UH2,54
Latvia,0jpqyRsbrdXNzlklZH1tho,58
Malaysia,2m0T1WuciPTO7ClIbRJqrB,170
Estonia,20McUFi8KCIVdNDLrkTDuZ,12
Colombia,3B18vU4ihX8eQ8NQgV2pQY,68
Guatemala,40rXWke6SnXiGkSmaT8ZUr,22
New Zealand,7GqWnsKhMtEW0nzki5o0d8,115
Turkey,3ee8Jmje8o58CHK66QrVC2,10
Portugal,6OGogr19zPTM4BALXuMQpF,20
Iceland,6m3LlhdZ0HWn4D7Nnm06MQ,69
Poland,4MXhiYIRDMGAuvZc5IFTwC,76
Malaysia,3hEheu77bHWsUJnniAK2X1,174
Indonesia,2xXNLutYAOELYVObYb1C1S,162
Argentina,5uHAzGa4d9j35DEbhUwGhi,5
Iceland,1nXZnTALNXiPlvXotqHm66,33
Slovakia,4h8VwCb1MTGoLKueQ1WgbD,87
Luxembourg,4l0Mvzj72xxOpRrp6h8nHi,21
Switzerland,7rDQTLJHfihh90lauNKFag,60
Global,6n4U3TlzUGhdSFbUUhTvLP,19
Malaysia,1xWH8zYtDeS9mW1JJG23VZ,38
Hungary,0nQ0CVtojHWXdMVD7UBiqi,84
Taiwan,3XAc8YYpuh1aNbKUINdhUo,123
Finland,5vJwYMdnmoOFXOWtBTouBS,56
Malaysia,1JTUPJr0rSf93hNlRR6S0g,85
Global,1aoIbIxOlTOgH9nyiJvFPz,149
Hong Kong,2ev3NZkpevRRsQbe319Kgi,9
Slovakia,7nZmah2llfvLDiUjm0kiyz,1
Mexico,6fxVffaTuwjgEk5h9QyRjy,56
Poland,3pSsRjKuwdnQQNAhGpbVJn,92
Germany,44pxxRrhiDGuHYP5HjadGF,59
Taiwan,4qqArAiTPueDxIp7cf87h7,178
Netherlands,411fSfMfrNGxVsIGK3drHT,1
Iceland,7FEwp8BavoEVE3AnxJDchc,51
Estonia,1tNJrcVe6gwLEiZCtprs1u,15
Norway,0KAzP1Rbp0Vz5pw8i1KDDI,110
Iceland,4ibg1niWc7AJpkSWu7ariN,9
Bolivia,2nLtzopw4rPReszdYBJU6h,27
Czech Republic,09PGubKAMryhOWv1LHpCYz,145
Colombia,2TmT3wSwRf0CYJFGGaIXNB,52
Netherlands,6x6Mw6RspqUs35uj2qBhQ5,68
Austria,3a39XsnQ0ALi9AWTGBU3wH,85
Austria,3DtkCLCnmm8TvoqyzJc8Du,162
Switzerland,3mF2Nfo8RllKxqhUWzBT5P,118
"Korea, Republic of",0WSEq9Ko4kFPt8yo3ICd6T,133
Norway,6sq5mqtS3jwJjvBHALknJH,113
Turkey,5q5gzmbBS5yQzos2BvVr1t,93
Hungary,2nUJvBO87SkxCViQsLc9Zr,22
Netherlands,2zmB6vEzvXFXf38k39KhE7,23
Turkey,04pjfS3YIK6gXjxi1zHeZa,183
Dominican Republic,2Jq4Ei6P87YbP67asm2rP6,57
United Arab Emirates,3Hig6FDiszzWDPIKSP9swE,122
Sweden,6A0IZ3A7iGKF9QIOKYHwrF,182
United States,3O8X1DE9btbzy4UH9cSX9a,107
Russian Federation,6hrQL9bGj4sSZ3F9e7nS9o,110
Chile,28sOLLPgDAdBzDuhkuuLhz,110
Israel,55cRDDDISMoOyTTrYNG6qY,127
Morocco,53d0bFnSvKLRY4ichfyc6l,93
Poland,2pYvd6cHcAIMAM6xMD6nok,52
Malaysia,67BtfxlNbhBmCDR2L2l8qd,6
Paraguay,3Vi5XqYrmQgOYBajMWSvCi,51
Greece,4brGjLpiqxrgNq0hV5rR8J,60
Netherlands,7mQyOl9OoXnKV3IdMx9dK4,109
Sweden,7xGFP1Cy4QlM4yEfvhknFN,169
Costa Rica,3LlAyCYU26dvFZBDUIMb7a,182
Finland,1lO9CZo6eDrOy0S7khgryG,43
Panama,4AlihYDqxXshKhvh5tnMfP,196
Israel,2XW4DbS6NddZxRPm5rMCeY,1
Greece,67BtfxlNbhBmCDR2L2l8qd,1
Switzerland,0MuUSRBlStYNy0IeSrjmEu,7
Philippines,3FAJ6O0NOHQV8Mc5Ri6ENp,1
Portugal,7ynCQo1KpBOyTdTdAnjSLZ,123
Czech Republic,43cKEIvz1x4gdNvR0bTAoM,3
South Africa,2mvabkN1i2gLnGAPUVdwek,71
Sweden,5yUHyZlgg8YsRdMt1cP7Lg,91
Uruguay,7JmDKMT8mrOWTikJCtceWy,157
Luxembourg,5nujrmhLynf4yMoMtj8AQF,6
South Africa,6mrKP2jyIQmM0rw6fQryjr,30
Peru,1kLTaKK1qbtGuxggUtz8iz,53
Denmark,6sYJuVcEu4gFHmeTLdHzRz,68
Uruguay,1VUm0rdXGDjAOApxFxGFJ4,140
Finland,2ZTYlnhhV1UAReg7wIGolx,43
Viet Nam,3EuOQ0v6LxsNFSf3BF5wrw,157
Hong Kong,0IuVhCflrQPMGRrOyoY5RW,122
United Kingdom,3i8GllbdGuwIXaVrlIoE0r,165
Netherlands,3id2EVGKc3eFAMn9nFnB0r,44
Lithuania,51qZrd2Kzr115au0a7nRP0,40
United States,41wtwzCZkXwpnakmwJ239F,4
Panama,7C39RtGhnEw7cyf0Pyw7PV,73
Indonesia,741wqAxJIPwjHWLjyG2so6,110
Singapore,3aW0ds4A4tSQDIp75FqWTo,1
Morocco,2FkCxMgyjqvKwV0wqKb3vF,3
Taiwan,4StbKp3T5dBgMaq9oYoTGH,121
India,5BWIrdXMuMewFbyXBntyjA,45
Latvia,3caMfJGFp53NAH2TuigdNj,57
Philippines,2mf9FitEJnH6mcUU6y0Hkw,177
Netherlands,0SW6Zw0kSHTB6YZi8XSPiK,114
Bolivia,0MMyJUC3WNnFS1lit5pTjk,132
France,3Nnm2VNqTGOtMz2eCDPHF7,128
Hungary,0KoiMHhqKLoL4xM54rcWYY,50
Ireland,37Nqx7iavZpotJSDXZWbJ3,1
Global,7H0NHzIEzCoIENLC2o8Obj,166
Switzerland,4wuCQX7JvAZLlrcmH4AeZF,27
Italy,27qAMKrDdKEs8HDXcvR24R,61
Slovakia,5DR5ROdgm8iSxhZKLXEIbi,29
United States,4mxWSdf71VFO52qFeY0fZt,13
Austria,6pC9WwxPwliXagk4L8cnuD,162
Egypt,63uctqlwCI5AxXYmpTVO2Z,14
El Salvador,4ByaTrfoYbXrmlbsTG8MTD,133
Guatemala,0vvuIsoJ101Hme1VIXBIEi,170
Ukraine,0rYLgKfj2uKC56S1NLweGx,146
New Zealand,07MDkzWARZaLEdKxo6yArG,6
Brazil,3YvE7uo4ffseBoJPh8IhHp,3
Sweden,5BwQjRasNcdRPuVWKcHto2,133
Malaysia,6u7jPi22kF8CTQ3rb9DHE7,10
Lithuania,0wYOlCybpxFc2azWLyYj0S,105
Austria,3up1uPuvL5vkfJ6aOeSRtD,65
United Arab Emirates,1iQDltZqI7BXnHrFy4Qo1k,11
Hungary,2nqwxzn7svkN30dVGbXdWf,58
Portugal,1V0qqWBbIWt8hlAjxTZedR,78
Poland,57RA3JGafJm5zRtKJiKPIm,127
Singapore,4WnwrZsv8lVHt0ribAeL1I,152
Honduras,2vgUijXOTRMnWXDtvgMp2b,120
Hong Kong,6MPieVurOKuBxkr06LnlnA,12
Malaysia,6O6M7pJLABmfBRoGZMu76Y,74
Chile,5jGUJXnELDaDTgiRjD9lsg,29
Sweden,5S3JUCSK7SAkjEW7yoqjlP,2
Malaysia,7gGBgh0bVxHPgZjA505bo9,73
Hong Kong,48Bf1B5ZTChtSe7SbEZpjR,70
Panama,2D3z17LBMJ2HEHeBFFjTLi,21
Russian Federation,5TrifksTeX5ICv4WCChYVQ,13
India,2fH3WsTNUlnGqcXwuu7aTx,46
Philippines,0or0gNaKAXYYCsOrpvRzAu,119
Sweden,0m2WKlcvNenItecWmk9Dnq,3
Hong Kong,7yBbV2k2S2uhaQc24NF2xt,31
Netherlands,6NifeCVzRvhakqYp27kOz2,58
Hong Kong,0LySDvIFC0qJMcciRaBGIE,175
Philippines,5iFwAOB2TFkPJk8sMlxP8g,19
Malaysia,4MsUsFfWseB9M2plGJyuIw,7
Denmark,4ak9GGe6afmi2HbxEjvhIC,72
Peru,5Ncjypx5upZS5ZZTaqUzIf,120
Mexico,0KKkJNfGyhkQ5aFogxQAPU,15
Spain,50nfwKoDiSYg8zOCREWAm5,60
United Arab Emirates,1nYzjrdVQ8RpF93M0jPFW7,148
Netherlands,4RzpCjByV1NWUGKVQGuej6,63
Turkey,2jvQPtTfIxZU2Q6efEaJ8F,93
Spain,17NW5LLmN6PXrUdknZ6iT1,61
Norway,26gceVsA1ybT8qsX3aYLEn,79
Belgium,6ic8OlLUNEATToEFU3xmaH,148
Czech Republic,5tAa8Uaqr4VvA3693mbIhU,26
Egypt,27ErCu5vx463lPyabA87oi,42
Latvia,1goKool6enlNDiX7ruBmT6,11
Colombia,1F2HXIJrE2Xn81OzT2zZvW,58
Hong Kong,33UKxyd5TTGBrQTsxOsLAf,165
Turkey,1Xn2GNoMUPxjgxweGjypQ8,15
Latvia,2aksifNn5ph8igDOkPBA02,43
Poland,5IF6IBPqbclVR7SQKmCIyA,36
Spain,2qRN7PWiHRLprw4FpDeI9N,64
Greece,0VhgEqMTNZwYL1ARDLLNCX,62
Japan,5LCP80MqF8AqHi0WZZGuwJ,60
Dominican Republic,7CQnIVMwegdHlol8348Ozt,75
Netherlands,59PYPDxTbqJpiGfyogPb5h,27
Austria,4VCbgIdr8ptegWeJpqLVHH,22
Global,033if6Adj8fwBYsQzHOfQ8,97
Germany,4v094LQ9eF10k2O2Te2ngK,61
Guatemala,1HfMVBKM75vxSfsQ5VefZ5,1
Panama,7aaj0oNqJRdWIEfBj0Vim9,147
Iceland,1j2l6jMz85PaXuDiF08Vcv,122
Belgium,2WyRfGeHo97VC5mP1BBSzr,51
Argentina,1mea3bSkSGXuIRvnydlB5b,139
United Kingdom,4qQj5RXJk7zaz5EUIgs5y1,52
United Arab Emirates,0q2vG0UVuy6ajjcpkQHdZM,17
Sweden,4HhgmNcGxOqLWGE9HS2iXZ,28
Israel,5hvwx5i67IwnCkjl9VHkNv,177
United Kingdom,6JV2JOEocMgcZxYSZelKcc,28
Ecuador,0kHyKhJMukHEPfeh8s7rdM,135
Australia,2bNrvWD9d5Zn9tS8XvcaMk,80
Belgium,45bE4HXI0AwGZXfZtMp8JR,4
Belgium,5T8EDUDqKcs6OSOwEsfqG7,28
Hong Kong,2SLwbpExuoBDZBpjfefCtV,74
Nicaragua,2JPLbjOn0wPCngEot2STUS,1
Romania,4OafepJy2teCjYJbvFE60J,1
Singapore,5Z6DLYbekZkL8OvH54S4n0,197
Global,6u0EAxf1OJTLS7CvInuNd7,18
Viet Nam,4XbMC0T4UumxCRTr56T024,185
Sweden,1zi7xx7UVEFkmKfv06H8x0,162
Russian Federation,2GPTiPR5db727wu1tFvFt4,71
France,0FOOo8wbVSFQ7YI0ZF8iC7,55
Czech Republic,4VgJ4Ozb6n1EKHJgIpj6ze,63
Iceland,3hKZIqrH5IdsgJ2zU8ghFq,110
Panama,4Zbx65nGu6woGnJOqBHw50,156
South Africa,4sMlCilJoVzpm9P3iEReqS,192
Italy,71MGHgauMD6aapixtV6Chd,75
United Kingdom,330cmrgtnIj4NtPTYdDOZv,195
Slovakia,0fcq51a3gOI6gPvzc0YLsk,142
India,0PurA4JVJ8YQgSVopY8fn6,96
Honduras,5ojXuKXBYq0apcNucYSDXq,53
Switzerland,0G9rmRmQDFk9O2tzZLyRkc,56
Belgium,5sbooPcNgIE22DwO0VNGUJ,179
Australia,7gOdmNazfs5qdtsgWOB1Z4,66
Chile,16fZpc0Md2q1SGu8FMTo6x,62
Finland,3bEc0e8OHd73jfhSjXMoKb,2
Global,3XHJUG5I2zYqOEmEZUX68n,86
Sweden,2HGymMoOdB4ZYv0AAqYmgF,171
Saudi Arabia,4Oun2ylbjFKMPTiaSbbCih,23
France,5jyyPsIGM2yqkZN9R3TmvN,138
Switzerland,1tXCF7TwDnuHRgwQ63FeM5,156
Indonesia,6H2TKJ9KJfcq6MRmw2cF20,51
Ireland,0onslUNmSLDkuYaideYWir,99
Guatemala,1ugI5iU8E5yKoOYMmYbVLE,101
Saudi Arabia,3Ka2CKrYqWCEhAeSRRLHfp,63
Austria,1MwdkGVOmlOEj13DBQHPuJ,158
Uruguay,6b0scCYeLBGT3zyWoZUqJY,154
Ukraine,0Ocp2DCqY7FrK8jhhxCnRA,105
Argentina,2AFcaaiIoh6biEJ3Lbiwms,112
Singapore,3w9VRlKPvNxj40RdUGRweH,48
Latvia,75FDPwaULRdYDn4StFN2rT,19
Norway,6Kq3dPaKCOeA1BcU3JgK42,125
Guatemala,2qT1uLXPVPzGgFOx4jtEuo,61
Guatemala,2NkbRmygVirMQFCjSkyY7Q,134
Sweden,60a0Rd6pjrkxjPbaKzXjfq,44
Honduras,0dqfl4l45vqw2TnNrnbsy0,114
Ireland,5ELRkzdzz0HvGpMDlfZHkV,14
Ireland,7r8idehyb1p3PZXd7PmsEi,185
Brazil,42ZrMq4BKsWDrrbMnMRYaK,46
Denmark,2habSXqcJGExM6JJyskY7O,12
Saudi Arabia,6LHFVWgI10dKOJJXpxA5Bk,193
Malaysia,2Y0wPrPQBrGhoLn14xRYCG,37
Russian Federation,5eGeIWhWdLFlbCiuROoFwD,182
Slovakia,5DeScRE9a88RJT3eR8x0vT,95
Paraguay,3nUNwSYEUv9bmUc3de0Owv,98
Greece,09gysnJpfQ3ublBmJDfcEC,48
Global,6LXMUR2rpxFBDo6nilS3yX,124
Russian Federation,4FgP4kJWKvMhKPni4ryGMi,105
Uruguay,4vK8Kvyw1mabkMXJqbZOZT,79
Global,7g58rb2dFDCvcmLBwpHR9F,138
Japan,2mHp6HcqjnvgJddV0DY5pR,139
Taiwan,7DL1T5NFOPtWyfQNC7NkX9,156
Belgium,22nebdx3j16qQKRrm0mVe7,197
United Kingdom,2ARqIya5NAuvFVHSN3bL0m,7
Czech Republic,5Qel1sTrU4LM8HlJSPT2jd,154
Poland,1rIKgCH4H52lrvDcz50hS8,66
Switzerland,6wqKY0d4HH7TabNzIth2YF,184
Lithuania,77B4S4jkrAkL3Ng5hEHoUU,151
Russian Federation,3dzwxkefk58p6aXC3ADRt9,95
Greece,2NGnSx5tpHiedOGGHhY2SJ,47
Denmark,0RTzJVkunbGwuRjXDFHnjf,107
New Zealand,6cAKeFFYW2aClZSUyvqAEW,61
Mexico,160ZND0RP8hdUgNhs27lC3,127
Viet Nam,0WdR2AyLW1Drd3OUdwezM0,27
Switzerland,1PDP7mLiAMwhfmgIwzhOm2,31
Chile,1Xsr0gEVjs8xZPQDVFpiam,141
Norway,6CdEQR3Zp31TlOwCXwcYUM,33
Turkey,23zOJFmA6AyMeqTBWafyc5,24
Japan,6ts1KCOudfDYXYfyWtq0k1,29
Ireland,2rozzUGTRWqhTa2NzJAl8I,22
Germany,2YTiJYYYC6TdsupO3dnPvI,189
Ireland,3AgiRs3oxc2dFh0CPUHXJs,43
Costa Rica,7flNdUykV5LYDRv8wQDbsx,176
Dominican Republic,5mTrdbPjPCjKVIYhsUCtna,97
Japan,54ezuGQj5s0ot4J7ktWb2h,130
Australia,4dTiQezDWmEOWcdCbWVWMp,55
Turkey,68EMU2RD1ECNeOeJ5qAXCV,26
Japan,6y4GYuZszeXNOXuBFsJlos,7
Canada,3WSBP6JEf4Y2aKD2swQ8AG,96
United Arab Emirates,4wx0IYEDJhN0ghC1QtqocW,162
Finland,6Yk3pZPw8hlUBMTeLLLRC1,190
Germany,1sYRkVKdT2ize1HSDCwbEF,125
Slovakia,042Sl6Mn83JHyLEqdK7uI0,87
Estonia,38Vh0iUlilcvnBNWS4saSD,46
Colombia,1XLrxRU5zloc6nyBE3inl2,39
Ireland,2DomOAEa6ghF8BzOES61tK,103
